Province,Type,Name,Tel,Longitude,Latitude
Eastern Cape,Clinic,Baviaans Clinic,498350047,24.343214,-33.33402
Eastern Cape,CHC,Baziya CHC,047-5486087,28.385099,-31.614431
Eastern Cape,Clinic,Beacon Bay Clinic,0437059636/0437059637,27.938766,-32.968498
Eastern Cape,Clinic,Beatrice Ngwentle Clinic,422433447,25.596479,-32.726067
Eastern Cape,Clinic,Bedford Clinic,046-6850076,26.0883,-32.68292
Eastern Cape,District Hospital,Bedford Hospital,046-6850043,26.09012,-32.67534
Eastern Cape,Specialised Orthopaedic Hospital,Bedford Orthopaedic Hospital (Mthatha),047-5324489,28.706814,-31.577228
Eastern Cape,Clinic,Beestekraal Clinic,083-3031671,27.815988,-31.517471
Eastern Cape,Clinic,Bengu Clinic (Emalahleni),045-8785393,27.335165,-31.792709
Eastern Cape,Clinic,Bensonvale Clinic,083-3780667,27.356668,-30.582562
Eastern Cape,Clinic,Bergsig Clinic,084-4642519,25.450146,-33.387515
Eastern Cape,Clinic,Berlin Clinic,043-6852359,27.57776,-32.88395
Eastern Cape,Clinic,Bethania Clinic,072-2449342,28.295921,-30.659827
Eastern Cape,Clinic,Bezuidenhoutville Clinic,466840034,26.29813,-32.68805
Eastern Cape,Clinic,Bhele Clinic,040-6739967,27.182662,-33.20301
Eastern Cape,Clinic,Bhisho Gateway Clinic,040-6350379,27.456626,-32.82697
Eastern Cape,District Hospital,Bhisho Hospital,040-6352958,27.45516,-32.82774
Eastern Cape,Specialised Clinic,Bhisho Parliament Clinic,040-6080176,27.427524,-32.863183
Eastern Cape,Clinic,Bhongweni Clinic,422471156,25.798455,-32.74653
Eastern Cape,Clinic,Bilatye Clinic,731993529,27.365533,-31.946554
Eastern Cape,Clinic,Bityi Clinic,071-8543807,28.52346,-31.79406
Eastern Cape,District Hospital,BJ Vorster (Kareedouw) Hospital,422880714,24.296093,-33.951165
Eastern Cape,Clinic,Bluegums Clinic,083-3781186,27.232095,-30.547432
Eastern Cape,Clinic,Bodweni Clinic,083-3781180,29.551313,-31.184761
Eastern Cape,Clinic,Bokleni Clinic,083-3780604,28.194118,-31.595891
Eastern Cape,Clinic,Bolotwa Clinic (Confimvaba),071-1859883,27.198906,-31.986428
Eastern Cape,Clinic,Bolotwa Clinic (Idutywa),833031669,28.292898,-31.91607
Eastern Cape,Clinic,Bomvana Clinic,718543838,28.812726,-32.106372
Eastern Cape,Clinic,Bomvini Clinic,082-7925772,29.472287,-31.401671
Eastern Cape,Clinic,Boomplaas Clinic,083-9568647,27.185436,-31.498463
Eastern Cape,Clinic,Booysens Park Clinic,415062700,25.459131,-33.862104
Eastern Cape,Clinic,Braelyn Clinic,043-7411321,27.879621,-33.000183
Eastern Cape,Clinic,Braelyn Extension Clinic,043-7412080,27.860727,-33.003994
Eastern Cape,Clinic,Breidbach Clinic,043-6441051,27.446562,-32.88561
Eastern Cape,Clinic,Brug Straat Clinic (Jansenville),498360234,24.666844,-32.947678
Eastern Cape,Clinic,Buchele Clinic,071-8543819,29.621311,-31.495867
Eastern Cape,Clinic,Bulembu Clinic,040-6597004,27.266548,-32.872872
Eastern Cape,Clinic,Buntingville Clinic,083-3780613,28.870371,-31.636098
Eastern Cape,Clinic,Burgersdorp Clinic,051-6531777,26.331863,-30.99439
Eastern Cape,District Hospital,Burgersdorp Hospital,0516531881/0516531882/0516531883,26.31416,-30.992951
Eastern Cape,Clinic,Burnshill Clinic,040-6578303,27.055024,-32.768647
Eastern Cape,Clinic,Butterworth Gateway Clinic,474914161,28.139457,-32.33287
Eastern Cape,District Hospital,Butterworth Hospital,047-4914161,28.137971,-32.331642
Eastern Cape,Clinic,Caba Clinic,083-3031489/083-9926308,28.613033,-31.083777
Eastern Cape,Clinic,Caguba Clinic,083-4210260,29.469001,-31.638268
Eastern Cape,District Hospital,Cala Hospital,478770129,27.678997,-31.523473
Eastern Cape,Clinic,Cambridge Clinic,043-7260142,27.889687,-32.978086
Eastern Cape,Clinic,Cancele Clinic,083-3031627,28.78742,-30.848116
Eastern Cape,Clinic,Canzibe Gateway Clinic,047-5688292,29.065801,-31.809503
Eastern Cape,District Hospital,Canzibe Hospital,0475688290/1/2/3,29.065801,-31.809503
Eastern Cape,Clinic,Cata Clinic,083-3780495,27.124842,-32.595165
Eastern Cape,Clinic,Cathcart Clinic,073-3966043,27.14426,-32.29816
Eastern Cape,District Hospital,Cathcart Hospital,045-8431002,27.13691,-32.29026
Eastern Cape,Clinic,CC Lloyd Clinic,046-6457418,26.63361,-32.77502
Eastern Cape,Regional Hospital,Cecilia Makiwane Hospital,043-7082135,27.74422,-32.92785
Eastern Cape,CHC,Central CHC (Sandford),413730014,25.601723,-33.958027
Eastern Cape,Clinic,Central Clinic (East London),043-7435465,27.906105,-33.016927
Eastern Cape,Clinic,Central Clinic (Port Elizabeth),415062847,25.612789,-33.964585
Eastern Cape,Clinic,Chatty Clinic,415063070,25.495512,-33.873729
Eastern Cape,Clinic,Chris Hani Clinic,043-7485871,27.924749,-32.954635
Eastern Cape,Clinic,Cimezile Clinic,040-8610401,26.636344,-32.262829
Eastern Cape,Clinic,Civic Centre Clinic (Mthatha),047-5014038,28.78992,-31.58265
Eastern Cape,Clinic,Clarkebury Clinic,083-3780557,28.286925,-31.790883
Eastern Cape,Clinic,Clarkson Clinic,4228220028,24.348788,-34.010403
Eastern Cape,District Hospital,Cloete Joubert (Barkly East) Hospital,045-9710091,27.586734,-30.967559
Eastern Cape,District Hospital,Cofimvaba Hospital,47874800,27.581767,-32.011347
Eastern Cape,Satellite Clinic,Coldstream Satellite Clinic,073-2256942,23.700766,-33.961849
Eastern Cape,Satellite Clinic,Collondale Satellite Clinic,043-7366178,27.818606,-33.03977
Eastern Cape,District Hospital,Cradock Hospital,048-8812123,25.622912,-32.167989
Eastern Cape,Clinic,Cumakala 1 Clinic,436810024,27.44754,-32.55717
Eastern Cape,Clinic,Cumakala 2 Clinic,043-6810023,27.44868,-32.56293
Eastern Cape,Clinic,Cuyler Youth Centre,082-7397717,25.392124,-33.765979
Eastern Cape,Clinic,Cwecweni Clinic,083-3781184,28.054667,-31.936795
Eastern Cape,Clinic,Cwele Clinic,073-4275221,29.24055,-31.672414
Eastern Cape,Clinic,Cwili Clinic,043-8411274,28.363489,-32.676982
Eastern Cape,Clinic,Daliwe Clinic,045-8431024,27.151704,-32.301795
Eastern Cape,Clinic,Daliwonga Clinic,039-9251311,29.904348,-31.103457
Eastern Cape,Clinic,Debe Nek Clinic,406570385,27.13793,-32.84583
Eastern Cape,Clinic,Didimana Clinic,040-8451022,26.611464,-32.121421
Eastern Cape,CHC,Dimbaza CHC,040-6562022,27.214074,-32.835462
Eastern Cape,Clinic,Donnington Clinic,040-6361018,27.42576,-32.72367
Eastern Cape,Regional Hospital,Dora Nginza Hospital,041-4064429,25.56,-33.8773
Eastern Cape,Clinic,Dordrecht Clinic,045-9431245,27.047887,-31.377304
Eastern Cape,District Hospital,Dordrecht Hospital,045-9431019,27.045958,-31.391496
Eastern Cape,Clinic,Double Falls Clinic,083-3781127,29.383525,-31.627443
Eastern Cape,Clinic,Dr CL Bikitsha Clinic,082-4274423,28.105042,-32.278377
Eastern Cape,District Hospital,Dr Malizo Mpehle Memorial Hospital,047-5426300,28.777753,-31.316606
Eastern Cape,Clinic,Drake Road Clinic,043-7351608,27.929081,-32.985686
Eastern Cape,Clinic,Du Preez Street Clinic,415061970,25.463042,-33.803141
Eastern Cape,CHC,Duncan Village CHC,043-7424762,27.886691,-33.00773
Eastern Cape,Clinic,Dundee Clinic,083-3031691,29.42436,-30.74694
Eastern Cape,Clinic,Dungu Clinic,082-8651440,29.206274,-31.222931
Eastern Cape,Clinic,Edamini Clinic,415062080,25.385955,-33.832414
Eastern Cape,Clinic,Efata Clinic,047-5360527,28.71823,-31.568563
Eastern Cape,Clinic,Ekuphumleni Clinic,040-8410130,26.782093,-32.178409
Eastern Cape,Specialised Psychiatric Hospital,Elizabeth Donkin Hospital,041-5852323,25.627584,-33.979422
Eastern Cape,Clinic,Elliot Clinic,045-9311409,27.850213,-31.333386
Eastern Cape,District Hospital,Elliot Hospital,045-9311321,27.839329,-31.337492
Eastern Cape,Clinic,Elucwecwe Clinic,083-3780594,27.88056,-31.7357
Eastern Cape,Clinic,Eluhewini Clinic,071-8543815,28.126829,-31.705876
Eastern Cape,Clinic,Elukholweni Clinic,083-3031739,28.852099,-30.629156
Eastern Cape,Clinic,Eluxolweni Clinic,048-8850174,25.805589,-31.643611
Eastern Cape,Clinic,Empilisweni Clinic,074-4001058,28.240383,-31.193879
Eastern Cape,District Hospital,Empilisweni Hospital,051-6110037,27.37433,-30.53231
Eastern Cape,CHC,Empilweni CHC,043-7331089,27.849384,-33.014525
Eastern Cape,Specialised Tb Hospital,Empilweni TB Hospital,041-4067600,25.58468,-33.908859
Eastern Cape,Clinic,Engojini Clinic,040-8429616,26.753857,-32.22432
Eastern Cape,Clinic,Esilindini Clinic,083-3031493,27.330267,-30.543866
Eastern Cape,Clinic,Ethembeni Clinic,040-6362863,27.43183,-32.7628
Eastern Cape,Clinic,Eureka Clinic,051-6531777,26.317977,-31.007249
Eastern Cape,Clinic,Ezibeleni Clinic,047-8731036,26.959004,-31.90093
Eastern Cape,Clinic,Ezingcuka Clinic,083-3780616,28.657982,-31.300924
Eastern Cape,Clinic,Fezeka NU 3 Clinic,043-7611314,27.753004,-32.931768
Eastern Cape,Clinic,Fish River Clinic,048-8813958,25.415886,-31.911817
Eastern Cape,Clinic,Flagstaff Clinic,039-2520136,29.496124,-31.080063
Eastern Cape,Clinic,Fort Beaufort Gateway Clinic,466451111,26.6348,-32.7816
Eastern Cape,District Hospital,Fort Beaufort Hospital,046-6451111,26.63483,-32.7817
Eastern Cape,Specialised Psychiatric Hospital,Fort England Hospital,466227003,26.543186,-33.315436
Eastern Cape,Clinic,Fort Grey Clinic,076-1285655,27.8031,-33.036973
Eastern Cape,Specialised Tb Hospital,Fort Grey TB Hospital,043-7369850,27.82122,-33.02207
Eastern Cape,Clinic,Fort Malan Clinic,733968238,28.523716,-32.150659
Eastern Cape,Clinic,Frankfort Clinic,040-6360394,27.45267,-32.72026
Eastern Cape,Satellite Clinic,Fransbury Satellite Clinic,073-8554151,27.07867,-31.964426
Eastern Cape,Clinic,Frere Gateway Clinic,437092146,27.891186,-32.996458
Eastern Cape,Regional Hospital,Frere Hospital,043-7092111,27.89156,-32.99599
Eastern Cape,District Hospital,Frontier Hospital,045-8084200,26.871405,-31.889209
Eastern Cape,Clinic,Gardens Clinic,045-8072704,26.874388,-31.893643
Eastern Cape,Clinic,Gcaleka Clinic,083-3780561,28.319415,-32.338445
Eastern Cape,Clinic,Gelvandale Clinic,415062810,25.55013,-33.9163
Eastern Cape,Clinic,Gilton Clinic,406538905,26.94244,-32.66184
Eastern Cape,Clinic,Ginsberg Clinic,043-6421280,27.385266,-32.892174
Eastern Cape,District Hospital,Glen Grey Hospital,047-8782800,27.199579,-31.719037
Eastern Cape,Clinic,Glenmore Clinic,040-6750188,26.858592,-33.142572
Eastern Cape,Clinic,Gompo A Ndende Clinic,043-7052309,27.876342,-33.007219
Eastern Cape,Clinic,Gompo B Jwayi Clinic,043-7334100,27.858008,-33.016742
Eastern Cape,Clinic,Gompo C Jabavu Clinic,082-2640530,27.864001,-33.011861
Eastern Cape,Clinic,Gonubie Clinic,437059736,28.021826,-32.941637
Eastern Cape,Clinic,Goso Forest Clinic,039-2538998,29.622249,-31.38858
Eastern Cape,Clinic,Govan Mbeki Clinic,415061861,25.535381,-33.857166
Eastern Cape,Clinic,Gqaga Clinic,083-3781188,28.213019,-31.544896
Eastern Cape,Clinic,Gqaqhala Clinic,047-5428908,28.387733,-31.282466
Eastern Cape,CHC,Gqebera CHC,415061611,25.588864,-33.986143
Eastern Cape,Clinic,Gqogqora Clinic,073-2441851,27.887051,-31.98243
Eastern Cape,Clinic,Gqunqe Clinic,083-2431086,28.562297,-32.468859
Eastern Cape,CHC,Graaff-Reinet Day Hospital,0498930049/8930051,24.555366,-32.275577
Eastern Cape,Clinic,Gracey Clinic,422461454,25.133514,-32.582041
Eastern Cape,Clinic,Grainvalley Clinic,083-3780560,28.048927,-32.237561
Eastern Cape,Clinic,Greenfields Clinic,043-7366084,27.864482,-33.03499
Eastern Cape,District Hospital,Greenville Hospital,039-2513009,30.108987,-30.930565
Eastern Cape,Clinic,Greenville PHC Clinic,083-3031709,30.110006,-30.929712
Eastern Cape,Clinic,Grey Gateway Clinic,043-6422758,27.394377,-32.879623
Eastern Cape,District Hospital,Grey Hospital,043-6433304,27.39579,-32.87932
Eastern Cape,Clinic,Guba Clinic,083-3781189,27.30681,-31.51514
Eastern Cape,Clinic,Gubenxa Clinic,083-3780591,27.820856,-31.717355
Eastern Cape,Clinic,Gura Clinic,083-3580989,28.833393,-31.027071
Eastern Cape,Clinic,Gustav Lamour Clinic,415063060,25.46398,-33.815938
Eastern Cape,Clinic,Gwabeni Clinic,040-6759917,26.961981,-33.09613
Eastern Cape,Clinic,Gwadana Clinic,833780546,28.290675,-32.214998
Eastern Cape,Clinic,Gwadu Clinic,833780545,28.66811,-32.220094
Eastern Cape,Clinic,Gwatyu Clinic,083-3780650,27.321933,-32.006477
Eastern Cape,Clinic,Gxulu Clinic,040-6589143,27.110173,-32.645222
Eastern Cape,Clinic,Gxwederha Clinic,078-7206072,26.78648,-32.84161
Eastern Cape,Clinic,Hackney Clinic,040-8610090,26.644903,-32.318133
Eastern Cape,Clinic,Hamburg Clinic,040-6781117,27.473226,-33.290568
Eastern Cape,Clinic,Haytor Clinic,040-8428943,26.771021,-32.294688
Eastern Cape,Clinic,Healdtown Clinic,046-6521020,26.70145,-32.73159
Eastern Cape,Clinic,Hebe-Hebe Clinic,083-3780190,27.83032,-32.23609
Eastern Cape,Clinic,Helenvale Clinic,415063168,25.551799,-33.911279
Eastern Cape,Clinic,Herschel Clinic,083-3031711,27.16345,-30.61497
Eastern Cape,District Hospital,Hewu Hospital,040-8410133,26.792752,-32.168393
Eastern Cape,Clinic,High Street Clinic,048-8015072,25.616341,-32.167248
Eastern Cape,Clinic,Highview Clinic,083-3780540,27.947188,-32.434991
Eastern Cape,Clinic,Hillside Clinic (Nkonkobe),466457446,26.63978,-32.75227
Eastern Cape,Clinic,Hillside Clinic (Senqu),083-3781135,27.563748,-30.561099
Eastern Cape,Clinic,Hilton Clinic,051-6341062,26.69755,-30.698823
Eastern Cape,Clinic,Hlabatshane Clinic,047-5735351,28.856835,-31.745112
Eastern Cape,Clinic,Hlala Uphilile Clinic,045-9431472,27.037944,-31.377135
Eastern Cape,Clinic,Hlamandana Clinic,083-3781167/083-7513458,29.720654,-30.817607
Eastern Cape,Clinic,Hlangalane Clinic,083-3780738,28.529668,-30.963845
Eastern Cape,Clinic,Hlankomo Clinic,071-8543779,28.419166,-30.929601
Eastern Cape,Clinic,Hlomendlini Clinic,071-8543803,27.263198,-30.5861
Eastern Cape,Clinic,Hobeni Clinic,833033912,28.878765,-32.184044
Eastern Cape,Clinic,Hofmeyer Clinic,048-8850078,25.804267,-31.655724
Eastern Cape,District Hospital,Holy Cross Hospital,0392523000/0392523001/0392522026/0392522027,29.676084,-31.148278
Eastern Cape,Clinic,Holy Cross PHC Clinic,039-2537522,29.676084,-31.148278
Eastern Cape,Clinic,Horseshoe Clinic,498075700,24.534568,-32.248514
Eastern Cape,Clinic,Horton Clinic,040-6739189,27.021561,-33.112276
Eastern Cape,Clinic,Hukuwa Clinic,040-8419398,26.6598,-32.155198
Eastern Cape,Clinic,Humansdorp Clinic,422008319,24.775393,-34.035093
Eastern Cape,District Hospital,Humansdorp Hospital,422004201,24.780098,-34.029998
Eastern Cape,Clinic,Ibika Clinic,076-4409095,28.213494,-32.301684
Eastern Cape,Clinic,Idutywa Nqabara Clinic,733966194,28.454407,-32.101122
Eastern Cape,CHC,Idutywa Village CHC,474894000,28.3139,-32.107531
Eastern Cape,Clinic,Ikamvelihle Clinic,0415061060/0415061132,25.613033,-33.793258
Eastern Cape,Clinic,Ilinge Clinic,047-8729053,27.040419,-31.977343
Eastern Cape,Clinic,Ilita Clinic,040-6475006,27.534048,-32.889788
Eastern Cape,Clinic,Imidange Clinic,040-6360222,27.486798,-32.779608
Eastern Cape,Clinic,Imizamo Yetho Clinic,422830546,24.796878,-33.742686
Eastern Cape,Clinic,Imizizi Clinic,039-2513044,29.969515,-30.904938
Eastern Cape,District Hospital,Indwe Hospital,045-9521190,27.340628,-31.4676
Eastern Cape,Clinic,Isikelo Clinic,071-8543837,29.767942,-30.786719
Eastern Cape,Clinic,Isikhoba Clinic,083-3780552,27.610212,-32.983049
Eastern Cape,Clinic,Isilimela Gateway Clinic,0475642805/0475642806/0475642811,29.359197,-31.733779
Eastern Cape,District Hospital,Isilimela Hospital,047-5649608,29.359197,-31.733779
Eastern Cape,Clinic,Isilindini Clinic,071-8595684,28.57801,-30.61905
Eastern Cape,Clinic,Isolomzi Clinic,419775298,25.375398,-33.825409
Eastern Cape,Clinic,Jafta Clinic,083-3031921,27.310558,-32.798911
Eastern Cape,Clinic,Jaji Clinic,040-6769013,27.119217,-33.345739
Eastern Cape,Clinic,Jalamba Clinic,083-3031528,28.68011,-31.961948
Eastern Cape,Clinic,Jama Clinic,040-6769011,27.093522,-33.377311
Eastern Cape,Clinic,Jamestown Clinic,071-8543806,26.804023,-31.130482
Eastern Cape,District Hospital,Jamestown Hospital,051-6410911,26.807276,-31.123632
Eastern Cape,Clinic,Jingqi Clinic,833031547,28.657679,-32.332831
Eastern Cape,Clinic,Joe Slovo Clinic,415061000,25.50272,-33.825072
Eastern Cape,Clinic,John Dube Clinic,043-8495008,27.88565,-32.991561
Eastern Cape,Specialised Tb Hospital,Jose Pearson TB Hospital,413728000,25.468588,-33.891712
Eastern Cape,CHC,Joubertina CHC,422731531,23.865129,-33.82642
Eastern Cape,Clinic,Joza Clinic,466036026,26.560315,-33.291604
Eastern Cape,Clinic,Kalankomo Clinic,083-3031562/083-6418260,28.70536,-30.9316
Eastern Cape,Clinic,Kamastone Clinic,040-8451202,26.650088,-32.067226
Eastern Cape,Clinic,Kambi Clinic,071-8543795,28.661469,-31.492821
Eastern Cape,Clinic,Kanyayo (Bizana) Clinic,073-4021329/073-3363602,29.800673,-31.079268
Eastern Cape,Clinic,Kareedouw Clinic,422880544,24.305658,-33.951684
Eastern Cape,Clinic,Kati-Kati Clinic,045-8431370,27.155862,-32.288389
Eastern Cape,Clinic,Katkop Clinic,083-3781128,28.54957,-30.898011
Eastern Cape,Clinic,KB Siswana Clinic,083-3780668,26.765965,-32.059339
Eastern Cape,Clinic,Kenton-On-Sea Clinic,466481531,26.66601,-33.676401
Eastern Cape,Clinic,Keti Clinic,082-5918707,28.14104,-32.01328
Eastern Cape,Clinic,Khanyayo (Holy Cross) Clinic,079-3914775,29.845441,-31.193877
Eastern Cape,Clinic,Khayamnandi Clinic,048-8840034,25.811927,-31.281664
Eastern Cape,Clinic,Khuze Clinic,083-3031563,27.628274,-32.2134
Eastern Cape,Clinic,Kirkwood Clinic,084-4642519,25.442649,-33.402012
Eastern Cape,Clinic,Kleinbulhoek Clinic,040-8450156,26.560577,-32.100067
Eastern Cape,Clinic,Kohlo Clinic,083-3780712,29.379748,-31.549321
Eastern Cape,Clinic,Kolomana Clinic,071-8595807,26.78879,-32.42551
Eastern Cape,Specialised Psychiatric Hospital,Komani Hospital,045-8588400,26.90732,-31.918073
Eastern Cape,District Hospital,Komga Hospital,043-8311013,27.89576,-32.57606
Eastern Cape,Clinic,Komga Rural Clinic,043-8311186,27.962895,-32.582127
Eastern Cape,CHC,Korsten CHC,414052684,25.56967,-33.925352
Eastern Cape,Clinic,Kotana Clinic,083-3780739,28.14648,-32.14878
Eastern Cape,Clinic,Kotyana Clinic,736080159,28.999443,-32.043264
Eastern Cape,Clinic,Krakeel Clinic,422742056,23.7275,-33.814302
Eastern Cape,Clinic,Kroonvale Clinic,498075700,24.561326,-32.255736
Eastern Cape,Clinic,Kruisfontein Clinic,422952820,24.746691,-34.021866
Eastern Cape,Clinic,Kruisrivier Clinic,041-9925452,25.349225,-33.765623
Eastern Cape,Clinic,Ku Bengu Clinic,071-5834324,27.61732,-32.14341
Eastern Cape,Clinic,Kubusi Clinic,436832271,27.41285,-32.59433
Eastern Cape,Clinic,Kungisizwe Clinic,074-4986082,28.604944,-30.828515
Eastern Cape,CHC,Kuyasa CHC,083-3031492,27.58245,-32.00716
Eastern Cape,Clinic,Kwa-Mkholoza Clinic,833780544,28.594657,-32.320357
Eastern Cape,Clinic,Kwa-Nonqubela Clinic,466530326,26.420368,-33.656687
Eastern Cape,Clinic,Kwa-Nonzwakazi Clinic,422311019,26.090721,-33.317408
Eastern Cape,Clinic,Kwadwesi Clinic,415063176,25.51866,-33.848369
Eastern Cape,Clinic,Kwamagxaki Clinic,414632632,25.533908,-33.839579
Eastern Cape,Clinic,Kwanonzame New Clinic,049-8421104,24.008493,-31.517377
Eastern Cape,Clinic,Kwanonzame Old Clinic,049-8021352,25.003909,-31.508756
Eastern Cape,CHC,Kwazakhele CHC,414667109,25.585444,-33.87768
Eastern Cape,Clinic,Kwazakhele Clinic,415063092,25.591568,-33.883269
Eastern Cape,Clinic,Kwazenzele Clinic,422351082,25.710757,-33.522907
Eastern Cape,Clinic,Kwelera Clinic,043-7370233,27.962895,-32.823116
Eastern Cape,District Hospital,Lady Grey Hospital,0516030093/0516030115,27.21163,-30.712482
Eastern Cape,CHC,Laetitia Bam CHC,419780711,25.550061,-33.916423
Eastern Cape,Clinic,Lahlangubo Clinic (Ngcobo),040-8419092,27.867814,-31.660669
Eastern Cape,Clinic,Lahlangubo Clinic (Queenstown),040-8419092,26.665363,-32.187208
Eastern Cape,Clinic,Langeni Clinic,083-3780558,28.484502,-31.481478
Eastern Cape,Clinic,Lanti Clinic,083-3780730,27.401595,-31.880582
Eastern Cape,Clinic,Lenye Clinic,040-6588333,27.086272,-32.749682
Eastern Cape,Clinic,Lesseyton Clinic,045-8393348,26.777496,-31.842416
Eastern Cape,Clinic,Libode Clinic,047-5550267,29.024363,-31.540018
Eastern Cape,Clinic,Likhetlane Clinic,078-0418930,28.527176,-30.356069
Eastern Cape,Clinic,Lingelihle Clinic,048-8015072,25.6291,-32.180253
Eastern Cape,Clinic,Linton Grange Clinic,415063180,25.516064,-33.943404
Eastern Cape,Tertiary Hospital,Livingstone Hospital,414052100,25.56967,-33.925352
Eastern Cape,Clinic,Lizo Ngcana Clinic,045-8547012,26.85484,-31.92061
Eastern Cape,Clinic,Loerie Clinic,422370697,25.019163,-33.87597
Eastern Cape,Clinic,Lota Clinic,833780543,28.335996,-31.863207
Eastern Cape,Clinic,Lotana Clinic,083-3781170,28.930174,-31.282835
Eastern Cape,Clinic,Louterwater Clinic,422721024,23.631313,-33.792884
Eastern Cape,Clinic,Lower Gungululu Clinic,082-9660579,28.821889,-31.463056
Eastern Cape,Clinic,Lower Mncuncuzo Clinic,071-8595933,27.597924,-31.908552
Eastern Cape,Clinic,Lower Regu Clinic,083-3780502,26.95249,-32.81815
Eastern Cape,Clinic,Lower Seplan Clinic,083-8031741,27.443542,-31.712696
Eastern Cape,Clinic,Lower Tsitsana Clinic,083-3780737,28.207996,-31.522995
Eastern Cape,Clinic,Lower Zingcuka Clinic,040-6588330,27.099369,-32.718808
Eastern Cape,Clinic,Lubaleko Clinic,083-3031743,29.369365,-30.697234
Eastern Cape,Clinic,Lubisi Clinic,083-3780723,27.459879,-31.799026
Eastern Cape,Clinic,Ludalasi Clinic,083-3781140,29.313878,-31.637786
Eastern Cape,Clinic,Lugangeni Clinic,083-3031747,28.935054,-30.826852
Eastern Cape,Clinic,Lujizweni Clinic,083-3781125,28.991354,-31.77005
Eastern Cape,Clinic,Lukhanyiso Clinic,422330011,25.711041,-33.522837
Eastern Cape,Clinic,Lukhanyo Clinic,082-3508131,25.45617,-33.817418
Eastern Cape,Clinic,Lulama Kama Clinic,046-6457433,26.65496,-32.7686
Eastern Cape,Clinic,Lunga Kobese Clinic,415063095,25.580512,-33.885237
Eastern Cape,Clinic,Lusikisiki Village Clinic (Qaukeni),039-2531574,29.573178,-31.365064
Eastern Cape,Clinic,Luthuli Clinic,082-5935541/083-3031762,27.738735,-31.120592
Eastern Cape,Clinic,Lutshaya Clinic,082-3960065,29.36108,-31.322742
Eastern Cape,Clinic,Lutubeni Clinic,083-3031589,28.881764,-31.927063
Eastern Cape,Clinic,Luyengweni Clinic,083-3031763,28.766053,-30.653885
Eastern Cape,Clinic,Luyolo NU 9 Clinic,043-7623512,27.73391,-32.926063
Eastern Cape,Clinic,Lwandile Clinic,071-8595966,29.213862,-31.867282
Eastern Cape,Clinic,Mabandla Clinic,415061950,25.369781,-33.806195
