Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"30901011: Ward 11",3468,3921,7389
"30901012: Ward 12",2868,3180,6048
"30901013: Ward 13",4221,4374,8595
"30901014: Ward 14",3273,3285,6558
"30901015: Ward 15",3414,3840,7251
"30901016: Ward 16",6444,6600,13041
"30901017: Ward 17",5100,5559,10659
"30901018: Ward 18",2211,2307,4518
"30901019: Ward 19",3249,3618,6867
"30901020: Ward 20",3759,3984,7743
"30901021: Ward 21",4284,4170,8454
"30901022: Ward 22",4830,4854,9684
"30901023: Ward 23",2649,3021,5670
"30901024: Ward 24",2862,3108,5967
"30901025: Ward 25",4326,4359,8688
"30901026: Ward 26",4674,5007,9678
"30901027: Ward 27",5376,5166,10539
"30901028: Ward 28",4701,4827,9528
"30901029: Ward 29",966,942,1911
"30901030: Ward 30",4824,5067,9891
"30901031: Ward 31",4815,5157,9969
"30902001: Ward 1",2676,3087,5763
"30902002: Ward 2",3477,3306,6783
"30902003: Ward 3",4317,4587,8904
"30902004: Ward 4",3153,3093,6249
"30902005: Ward 5",3780,3846,7626
"30902006: Ward 6",2454,2394,4848
"30902007: Ward 7",3204,3462,6666
"30903001: Ward 1",3609,3909,7515
"30903002: Ward 2",2394,2547,4938
"30903003: Ward 3",1224,1347,2568
"30903004: Ward 4",2895,3144,6036
"30903005: Ward 5",1611,1530,3138
"30904001: Ward 1",3903,4308,8208
"30904002: Ward 2",2496,2760,5256
"30904003: Ward 3",2097,2475,4572
"30904004: Ward 4",2862,3003,5868
"30904005: Ward 5",4548,4821,9369
"30904006: Ward 6",1626,1674,3297
"30904007: Ward 7",4647,4692,9342
"30904008: Ward 8",4488,4755,9243
"30904009: Ward 9",3825,4017,7845
"34501001: Ward 1",2643,2889,5532
"34501002: Ward 2",2769,3120,5886
"34501003: Ward 3",2643,3000,5640
"34501004: Ward 4",3636,3165,6804
"34501005: Ward 5",2793,3090,5880
"34501006: Ward 6",2667,3300,5970
"34501007: Ward 7",2106,2442,4548
"34501008: Ward 8",2355,2853,5208
"34501009: Ward 9",3291,4122,7413
"34501010: Ward 10",2889,3840,6729
"34501011: Ward 11",2469,3120,5589
"34501012: Ward 12",2484,3282,5763
"34501013: Ward 13",3369,4068,7437
"34501014: Ward 14",2394,2787,5181
"34501015: Ward 15",2754,3192,5943
"34502001: Ward 1",3021,3099,6120
"34502002: Ward 2",4371,4383,8751
"34502003: Ward 3",4821,5175,9996
"34502004: Ward 4",2766,3060,5823
"34502005: Ward 5",1509,1785,3291
"34502006: Ward 6",4362,4455,8820
"34502007: Ward 7",2718,3099,5820
"34502008: Ward 8",2682,3306,5991
"34502009: Ward 9",1803,1983,3783
"34502010: Ward 10",5331,5844,11175
"34502011: Ward 11",3354,3576,6933
"34502012: Ward 12",4872,5421,10296
"34502013: Ward 13",3378,3471,6849
"34503001: Ward 1",6354,5196,11553
"34503002: Ward 2",3969,3939,7908
"34503003: Ward 3",3264,2979,6243
"34503004: Ward 4",3951,4065,8016
"34503005: Ward 5",5172,2730,7899
All cells in this table have been randomly rounded to base 3

