Province,Type,Subregion,Name,latitude,longitude
Eastern Cape,Clinic,Bhisho/Location,Bulembu Clinic,-32.872872,27.266548
Eastern Cape,Clinic,King Williams Town,Imidange Clinic,-32.779608,27.486798
Eastern Cape,Clinic,Newlands,Masiphile Clinic,-32.8544,27.788984
Eastern Cape,Clinic,King Williams Town,Mount Coke CHC,-32.980932,27.443461
Eastern Cape,Clinic,Peddie,Jaji Clinic,-33.345739,27.119217
Eastern Cape,Clinic,Dimbaza,Amahleke Clinic,-32.834766,27.230218
Eastern Cape,Clinic,Peddie,Mtyholo Clinic,-32.99244,27.35531
Eastern Cape,Clinic,East London,Duncan Village CHC,-33.00773,27.886691
Eastern Cape,Clinic,Peddie,Horton Clinic,-33.112276,27.021561
Eastern Cape,Clinic,King Williams Town,Ngqwele Clinic,-32.904812,27.217804
Eastern Cape,Clinic,Ngqeleni,Buntingville Clinic,-31.636098,28.870371
Eastern Cape,Clinic,Keiskammahoek,Burnshill Clinic,-32.768647,27.055024
Eastern Cape,Clinic,Butterworth,Butterworth Gateway Clinic,-32.33287,28.139457
Eastern Cape,Clinic,Lusiksiki,Ntafufu Clinic,-31.497477,29.527565
Eastern Cape,Clinic,Tabankulu,Ndawenzima Clinic,-30.90933,29.3621
Eastern Cape,Clinic,Cala,Cala Hospital,-31.523473,27.678997
Eastern Cape,Clinic,East London,Central Clinic (East London),-33.016927,27.906105
Eastern Cape,Clinic,Lujizweni Location,Lujizweni Clinic,-31.77005,28.991354
Eastern Cape,Clinic,Maqadini Location,Canzibe Gateway Clinic,-31.809503,29.065801
Eastern Cape,Clinic,Ngqeleni,Nqanda A Clinic,-31.77641,28.921562
Eastern Cape,Clinic,Uitenhage,Cuyler Youth Centre,-33.765979,25.392124
Eastern Cape,Clinic,Nompumelelo Location,Chris Hani Clinic,-32.954635,27.924749
Eastern Cape,Clinic,Clarkesbury,Clarkebury Clinic,-31.790883,28.286925
Eastern Cape,Clinic,Algoa Park,Algoa Park Clinic,-33.900956,25.56466
Eastern Cape,Clinic,Uitenhage,Nomangesi Jayiya Clinic,-33.820734,25.38441
Eastern Cape,Clinic,Middledrfit,Middledrift CHC,-32.81356,26.98832
Eastern Cape,Clinic,Humansdorp,Humansdorp Clinic,-34.035093,24.775393
Eastern Cape,Clinic,Bizana,Daliwonga Clinic,-31.103457,29.904348
Eastern Cape,Clinic,Despatch,Du Preez Street Clinic,-33.803141,25.463042
Eastern Cape,Clinic,Dutywa Nqabara,Idutywa Nqabara Clinic,-32.101122,28.454407
Eastern Cape,Clinic,Skool Street Clarkson,Clarkson Clinic,-34.010403,24.348788
Eastern Cape,Clinic,Bhisho,Bhisho Parliament Clinic,-32.863183,27.427524
Eastern Cape,Clinic,Mthatha,Efata Clinic,-31.568563,28.71823
Eastern Cape,Clinic,Whittlesea,Ekuphumleni Clinic,-32.178409,26.782093
Eastern Cape,Clinic,Keiskammahoek,Masincedane Clinic,-32.686116,27.11374
Eastern Cape,Clinic,Fish River Shop,Fish River Clinic,-31.911817,25.415886
Eastern Cape,Clinic,Flagstaff,Flagstaff Clinic,-31.080063,29.496124
Eastern Cape,Clinic,Mt Fletcher,Bethania Clinic,-30.659827,28.295921
Eastern Cape,Clinic,Alice,Gilton Clinic,-32.66184,26.94244
Eastern Cape,Clinic,Lady Frere,Glen Grey Hospital,-31.719037,27.199579
Eastern Cape,Clinic,Lusikisiki,Goso Forest Clinic,-31.38858,29.622249
Eastern Cape,Clinic,Zinyoka,Govan Mbeki Clinic,-33.857166,25.535381
Eastern Cape,Clinic,Nqamakwe,Grainvalley Clinic,-32.237561,28.048927
Eastern Cape,Clinic,Idutywa,Gwadana Clinic,-32.214998,28.290675
Eastern Cape,Clinic,Willowvale,Gwadu Clinic,-32.220094,28.66811
Eastern Cape,Clinic,Louterwater,Louterwater Clinic,-33.792884,23.631313
Eastern Cape,Clinic,Hlabatshane Clinic,Hlabatshane Clinic,-31.745112,28.856835
Eastern Cape,Clinic,Mt Fletcher,Hlangalane Clinic,-30.963845,28.529668
Eastern Cape,Clinic,Misgund,Misgund Clinic,-33.762563,23.502387
Eastern Cape,Clinic,Cofimvaba,Lower Seplan Clinic,-31.712696,27.443542
Eastern Cape,Clinic,Port St Johns,Isilimela Gateway Clinic,-31.733779,29.359197
Eastern Cape,Clinic,Jamestown,Jamestown Clinic,-31.130482,26.804023
Eastern Cape,Clinic,Alice,Gxwederha Clinic,-32.84161,26.78648
Eastern Cape,Clinic,Despatch,Joe Slovo Clinic,-33.825072,25.50272
Eastern Cape,Clinic,Kareel,Krakeel Clinic,-33.814302,23.7275
Eastern Cape,Clinic,Queenstown,Komani Hospital,-31.918073,26.90732
Eastern Cape,Clinic,Mgudu,Mgudu Clinic,-31.478168,28.34699
Eastern Cape,Clinic,Humansdorp,Kruisfontein Clinic,-34.021866,24.746691
Eastern Cape,Clinic,Mthatha,Civic Centre Clinic (Mthatha),-31.58265,28.78992
Eastern Cape,Clinic,Elliotdale,Jalamba Clinic,-31.961948,28.68011
Eastern Cape,Clinic,Tsomo,Ku Bengu Clinic,-32.14341,27.61732
Eastern Cape,Clinic,Stutterheim,Kubusi Clinic,-32.59433,27.41285
Eastern Cape,Clinic,Willowvale,Kwa-Mkholoza Clinic,-32.320357,28.594657
Eastern Cape,Clinic,X9044,Newlands Clinic,-32.878094,27.749394
Eastern Cape,Clinic,Port Elizabeth,Kwazakhele Clinic,-33.883269,25.591568
Eastern Cape,Clinic,Kwazakhele,Kwazakhele CHC,-33.87768,25.585444
Eastern Cape,Clinic,Lady Frere,Ndonga Clinic,-31.625191,27.388479
Eastern Cape,Clinic,Lady Frere,Maqashu Clinic,-31.743298,27.334743
Eastern Cape,Clinic,Lady Frere,Mkapusi Clinic,-31.595162,27.106699
Eastern Cape,Clinic,Amalinda,Frere Gateway Clinic,-32.996458,27.891186
Eastern Cape,Clinic,Keiskammahoek,Lenye Clinic,-32.749682,27.086272
Eastern Cape,Clinic,Whittlesea,Didimana Clinic,-32.121421,26.611464
Eastern Cape,Clinic,Ngcobo,Gqaga Clinic,-31.544896,28.213019
Eastern Cape,Clinic,Keiskammahoek,Lower Zingcuka Clinic,-32.718808,27.099369
Eastern Cape,Clinic,Southyville,Lubisi Clinic,-31.799026,27.459879
Eastern Cape,Clinic,Whittlesea,Engojini Clinic,-32.22432,26.753857
Eastern Cape,Clinic,Tsomo,Luthuli Clinic,-31.120592,27.738735
Eastern Cape,Clinic,Mqandulu,Lutubeni Clinic,-31.927063,28.881764
Eastern Cape,Clinic,Libode,Lwandile Clinic,-31.867282,29.213862
Eastern Cape,Clinic,Sterkspruit,Macacuma Satellite Clinic,-30.457349,27.352186
Eastern Cape,Clinic,Centane,Macibe Clinic,-32.509413,28.320286
Eastern Cape,Clinic,Qumbu,Mahlungulu Clinic (Mhlontlo),-31.077384,28.81672
Eastern Cape,Clinic,Libode,Nkanga Clinic,-31.46512,29.173588
Eastern Cape,Clinic,Lesseyton Clinic Queenstown,Lesseyton Clinic,-31.842416,26.777496
Eastern Cape,Clinic,Port St Johns,Majola Clinic,-31.516293,29.318765
Eastern Cape,Clinic,Bizana,Makwantini Clinic,-31.105733,29.990211
Eastern Cape,Clinic,Aliwal North,Maletswai Clinic,-30.692789,26.692395
Eastern Cape,Clinic,Libode,Mangcwanguleni Clinic,-31.329304,29.172623
Eastern Cape,Clinic,Mount Fletcher,Mangoloaneng Clinic,-30.518884,28.460799
Eastern Cape,Clinic,Port St Johns,Mantusini Clinic,-31.575012,29.294014
Eastern Cape,Clinic,Sterkspruit,Hlomendlini Clinic,-30.5861,27.263198
Eastern Cape,Clinic,Mapuzi A/A,Mapuzi Clinic,-31.959265,29.130018
Eastern Cape,Clinic,Ngqeleni,Maqanyeni Clinic,-31.642225,28.973141
Eastern Cape,Clinic,Mt Frere,Mount Frere PHC Clinic,-30.900045,28.995707
Eastern Cape,Clinic,Mt Frere,Kwanonzame New Clinic,-31.517377,24.008493
Eastern Cape,Clinic,New Brighton,New Brighton CHC,-33.909006,25.58468
Eastern Cape,Clinic,Lady Frere,Matyantya Clinic,-31.785279,27.072034
Eastern Cape,Clinic,Qumbu,Mbalisweni Clinic,-31.267639,29.115813
Eastern Cape,Clinic,Mbashe,Nqabeni Clinic,-32.118704,28.58487
Eastern Cape,Clinic,Idutywa,Mpozolo Clinic,-32.181989,28.779075
Eastern Cape,Clinic,Idutywa,Jingqi Clinic,-32.332831,28.657679
Eastern Cape,Clinic,Idutywa,Mahasana Clinic,-32.33607,28.727489
Eastern Cape,Clinic,Ngqeleni,Ndanya Clinic,-31.572718,28.961581
Eastern Cape,Clinic,Qumbu,Mdeni Clinic,-31.034761,28.779043
Eastern Cape,Clinic,Alice,Melani Clinic,-32.72545,26.87394
Eastern Cape,Clinic,Middledrift,Lower Regu Clinic,-32.81815,26.95249
Eastern Cape,Clinic,Midford Clinic Ntabetemba,Mitford Clinic,-31.990625,26.532328
Eastern Cape,Clinic,Ntabankulu,Mangqamzeni Clinic,-30.995591,29.069079
Eastern Cape,Clinic,Bizana,Mngungu Clinic,-31.056413,30.032035
Eastern Cape,Clinic,Graaff Reinet,Kroonvale Clinic,-32.255736,24.561326
Eastern Cape,Clinic,Mthatha,Mpeko Clinic,-31.623736,28.633102
Eastern Cape,Clinic,Mpindweni,Mpindweni Clinic,-31.51167,28.781015
Eastern Cape,Clinic,Mt. Frere,Mpoza Clinic (Mount Frere),-30.731786,29.069586
Eastern Cape,Clinic,Elliotdale,Mqhele Clinic,-31.994178,28.89164
Eastern Cape,Clinic,Maclear,Mqokolweni Clinic,-31.121665,28.549725
Eastern Cape,Clinic,Willowvale,Msendo Clinic,-32.27135,28.790078
Eastern Cape,Clinic,Alice,Msobomvu Clinic,-32.70058,26.85278
Eastern Cape,Clinic,Mt Frere,Mkemane Clinic,-30.672483,29.030259
Eastern Cape,Clinic,Mganduli,Ntlangaza Clinic,-31.827173,28.871813
Eastern Cape,Clinic,Matatiele,Mzongwana Clinic,-30.166121,29.057813
Eastern Cape,Clinic,Ugie,Ncembu Clinic,-31.3941,28.404854
Eastern Cape,Clinic,Butterworth,Ndabakazi Clinic,-32.355667,28.035827
Eastern Cape,Clinic,East London,Gompo A Ndende Clinic,-33.007219,27.876342
Eastern Cape,Clinic,East London,Needs Camp Clinic,-33.005697,27.647478
Eastern Cape,Clinic,Qumbu,Nessie Knight Clinic,-31.010907,28.682261
Eastern Cape,Clinic,Debe Nek,Ntaba ka Ndoda Clinic,-32.818218,27.106801
Eastern Cape,Clinic,Ngcobo,Ngcobo CHC,-31.680584,28.011146
Eastern Cape,Clinic,Ngcwanguba,Ngcwanguba CHC,-31.919521,29.032402
Eastern Cape,Clinic,Adelaide,Nomakhwezi Makhenyane Clinic,-32.69297,26.31339
Eastern Cape,Clinic,Butterworth,Highview Clinic,-32.434991,27.947188
Eastern Cape,Clinic,Mqanduli,Ngwenya Clinic,-31.949028,28.76685
Eastern Cape,Clinic,Tsolo,Ngxaza Clinic,-31.214288,28.506984
Eastern Cape,Clinic,Greenbushes,Masakhane Clinic (N Mandela Metro),-33.92395,25.44428
Eastern Cape,Clinic,Elliotdale,Nkanya Clinic,-32.158091,28.957965
Eastern Cape,Clinic,Centerton Hunckey,Masakhane Clinic (Hankey),-33.82773,24.872886
Eastern Cape,Clinic,Gura Clinic,Gura Clinic,-31.027071,28.833393
Eastern Cape,Clinic,Mgwali Stutterheim,Mgwali Clinic,-32.461027,27.606076
Eastern Cape,Clinic,Cathcart,Cathcart Clinic,-32.29816,27.14426
Eastern Cape,Clinic,Queestown,Bacclesfarm Clinic,-32.040569,26.461371
Eastern Cape,Clinic,Grahamstown,Anglo African Street Clinic,-33.311444,26.525867
Eastern Cape,Clinic,Mthatha,Mthatha Gateway Clinic,-31.586633,28.764181
Eastern Cape,Clinic,Libode,Nolita Clinic,-31.700004,28.946166
Eastern Cape,Clinic,Hamburg,Hamburg Clinic,-33.290568,27.473226
Eastern Cape,Clinic,East London,Empilweni CHC,-33.014525,27.849384
Eastern Cape,Clinic,Zone 1,Nomzamo CHC,-31.917153,26.950525
Eastern Cape,Clinic,Nciqeleni,Ntapane Clinic,-31.593458,28.847086
Eastern Cape,Clinic,Ngqeleni,Ntibane Clinic,-31.79009,29.159185
Eastern Cape,Clinic,Flagstaff,Ntlenzi Clinic,-30.950476,29.612867
Eastern Cape,Clinic,Mthatha,Ntshele Clinic,-31.67264,28.722022
Eastern Cape,Clinic,Alice,Assina Mandla Clinic,-32.75045,26.7941
Eastern Cape,Clinic,Boyesen Park,Booysens Park Clinic,-33.862104,25.459131
Eastern Cape,Clinic,King Williams Town,Grey Gateway Clinic,-32.879623,27.394377
Eastern Cape,Clinic,Old Location,Empilisweni Clinic,-31.193879,28.240383
Eastern Cape,Clinic,Middleburg Ec,Kwanonzame Old Clinic,-31.508756,25.003909
Eastern Cape,Clinic,Cofimvaba,Ncora Clinic,-31.818157,27.741243
Eastern Cape,Clinic,Aliwal North,Aliwal North Hospital,-30.697167,26.70719
Eastern Cape,Clinic,Mount Croix,Central CHC (Sandford),-33.958027,25.601723
Eastern Cape,Clinic,Libode,Caguba Clinic,-31.638268,29.469001
Eastern Cape,Clinic,Mxhalanga,Mxalanga Clinic,-32.73985,27.36593
Eastern Cape,Clinic,Molteno,Molteno Clinic,-26.21361,31.23523
Eastern Cape,Clinic,Queenstown,Hewu Hospital,-32.168393,26.792752
Eastern Cape,Clinic,Midi Llovo,Masakhe Clinic,-33.923854,25.444234
Eastern Cape,Clinic,Sterkstroom,Sterkstroom Hospital,-31.55323,26.554269
Eastern Cape,Clinic,Middledrift,Njwaxa Clinic,-32.8728,26.9056
Eastern Cape,Clinic,Ezibeleni,Ezibeleni Clinic,-31.90093,26.959004
Eastern Cape,Clinic,Lady Frere,Machubeni Clinic,-31.55987,27.18929
Eastern Cape,Clinic,Fort Beaufort,Fort Beaufort Gateway Clinic,-32.7816,26.6348
Eastern Cape,Clinic,Bedford,Mzamomhle Clinic (Bedford),-32.69044,26.09306
Eastern Cape,Clinic,Manzolwandle,Kamastone Clinic,-32.067226,26.650088
Eastern Cape,Clinic,Fort Beaufort,Hillside Clinic (Nkonkobe),-32.75227,26.63978
Eastern Cape,Clinic,Lady Frere,Ngonyama CHC,-31.668153,26.935397
Eastern Cape,Clinic,Tarkastad,Martje Venter (Tarkastad) Hospital,-32.009252,26.258435
Eastern Cape,Clinic,Qamata,Lanti Clinic,-31.880582,27.401595
Eastern Cape,Clinic,Queenstown,KB Siswana Clinic,-32.059339,26.765965
Eastern Cape,Clinic,Queenstown,Gwatyu Clinic,-32.006477,27.321933
Eastern Cape,Clinic,Whittlesea,Haytor Clinic,-32.294688,26.771021
Eastern Cape,Clinic,Fort Beaufort,Mxhelo Clinic,-32.79465,26.73477
Eastern Cape,Clinic,Willasvale,Nqabara Clinic,-32.247098,28.720745
Eastern Cape,Clinic,Trichardtsdal,Mhlanga Clinic,-31.464525,27.15988
Eastern Cape,Clinic,Whittlesea,Hackney Clinic,-32.318133,26.644903
Eastern Cape,Clinic,Emalahleni,Mount Arthur Clinic,-31.697279,27.031042
Eastern Cape,Clinic,Butterworth,Dr CL Bikitsha Clinic,-32.278377,28.105042
Eastern Cape,Clinic,Bedford,Bedford Hospital,-32.67534,26.09012
Eastern Cape,Clinic,Adelaide,Adelaide Hospital,-32.70092,26.29427
Eastern Cape,Clinic,Adelaide,Adelaide Gateway Clinic,-32.69994,26.29404
Eastern Cape,Clinic,Keiskammahoek,Cata Clinic,-32.595165,27.124842
Eastern Cape,Clinic,King Williams Town,Ethembeni Clinic,-32.7628,27.43183
Eastern Cape,Clinic,Bedford,Bedford Clinic,-32.68292,26.0883
Eastern Cape,Clinic,Uitenhage,Kruisrivier Clinic,-33.765623,25.349225
Eastern Cape,Clinic,Komga,Komga Hospital,-32.57606,27.89576
Eastern Cape,Clinic,Komga,Komga Rural Clinic,-32.582127,27.962895
Eastern Cape,Clinic,Mpolweni,Lulama Kama Clinic,-32.7686,26.65496
Eastern Cape,Clinic,Mgquamakwe,Ntseshe Clinic,-32.09424,28.09913
Eastern Cape,Clinic,Stutterheim,Stutterheim Hospital,-32.56883,27.42256
Eastern Cape,Clinic,Matatiyele,Elukholweni Clinic,-30.629156,28.852099
Eastern Cape,Clinic,Stutterheim,Amabele Clinic,-32.66337,27.52389
Eastern Cape,Clinic,Greenfields,Fort Grey TB Hospital,-33.02207,27.82122
Eastern Cape,Clinic,Algoa Park,Empilweni TB Hospital,-33.908859,25.58468
Eastern Cape,Clinic,Libode,Makhotyana CHC,-31.43541,29.022912
Eastern Cape,Clinic,Fort Beaufort,Winterberg TB Hospital,-32.77916,26.65807
Eastern Cape,Clinic,Dordrecht,Dordrecht Hospital,-31.391496,27.045958
Eastern Cape,Clinic,Butterworth,Nqancule Clinic,-32.35216,27.79323
Eastern Cape,Clinic,Ngqeleni,Nkumandeni Clinic,-31.73017,29.04818
Eastern Cape,Clinic,Mthatha,Ntshabeni Clinic,-31.538955,28.692287
Eastern Cape,Clinic,Elliot,Elliot Hospital,-31.337492,27.839329
Eastern Cape,Clinic,Middleburg Cape,Middelburg Clinic,-31.49488,25.00754
Eastern Cape,Clinic,Cradock,Cradock Hospital,-32.167989,25.622912
Eastern Cape,Clinic,Kookrus,Eluxolweni Clinic,-31.643611,25.805589
Eastern Cape,Clinic,Lusikisiki,Bodweni Clinic,-31.184761,29.551313
Eastern Cape,Clinic,Queenstown,Gardens Clinic,-31.893643,26.874388
Eastern Cape,Clinic,Ngcobo,All Saints Gateway Clinic,-28.04807,28.046663
Eastern Cape,Clinic,Qumbu,Nessie Knight Hospital,-31.010907,28.682261
Eastern Cape,Clinic,Mthatha,Mqhekezweni Clinic,-31.73366,28.46755
Eastern Cape,Clinic,Bizana,Mpetsheni Clinic,-30.990764,29.792508
Eastern Cape,Clinic,Bhisho,Ndevana Clinic,-32.909852,27.50726
Eastern Cape,Clinic,Port Alfred,Port Alfred Hospital,-33.595282,26.884317
Eastern Cape,Clinic,Kwanobuhle,Laetitia Bam CHC,-33.916423,25.550061
Eastern Cape,Clinic,Mt. Ayliff,Mount Ayliff PHC Clinic,-30.797433,29.370913
Eastern Cape,Clinic,Mtakatye,Mtakatye Clinic,-31.846699,29.244806
Eastern Cape,Clinic,Bizana,Ndela Clinic,-30.947755,29.713195
Eastern Cape,Clinic,Flagstaff,Nkozo Clinic,-31.201744,29.429369
Eastern Cape,Clinic,Mt. Frere,Mntwana Clinic,-30.976448,28.924639
Eastern Cape,Clinic,Ngwemnyama,Ngwemnyama Clinic,-31.25479,29.016491
Eastern Cape,Clinic,Indwe,Guba Clinic,-31.51514,27.30681
Eastern Cape,Clinic,Port Saint Johns,Isilimela Hospital,-31.733779,29.359197
Eastern Cape,Clinic,Namakgale,Manzimahle Clinic,-31.624819,27.556549
Eastern Cape,Clinic,Cofimvaba,Cofimvaba Hospital,-32.011347,27.581767
Eastern Cape,Clinic,Peddie,Bhele Clinic,-33.20301,27.182662
Eastern Cape,Clinic,Mt. Ayliff,Mount Ayliff Hospital,-30.797433,29.370913
Eastern Cape,Clinic,Bhisho,Bhisho Gateway Clinic,-32.82697,27.456626
Eastern Cape,Clinic,Jamestown,Jamestown Hospital,-31.123632,26.807276
Eastern Cape,Clinic,Steynsburg,Steynsburg Hospital,-31.294032,25.814894
Eastern Cape,Clinic,Holy Cross,Holy Cross PHC Clinic,-31.148278,29.676084
Eastern Cape,Clinic,Flagstaff,Holy Cross Hospital,-31.148278,29.676084
Eastern Cape,Clinic,Grahamstown,Fort England Hospital,-33.315436,26.543186
Eastern Cape,Clinic,Lusisikisiki,Magwa Clinic,-31.4184,29.671594
Eastern Cape,Clinic,Tsolo,Dr Malizo Mpehle Memorial Hospital,-31.316606,28.777753
Eastern Cape,Clinic,Lusikisiki,Malangeni Clinic,-31.311207,29.700685
Eastern Cape,Clinic,Grahamstown,Settlers Hospital,-33.302811,26.51781
Eastern Cape,Clinic,Aliwal North,Hilton Clinic,-30.698823,26.69755
Eastern Cape,Clinic,Lusikisiki,Mtambalala Clinic,-31.542039,29.587904
Eastern Cape,Clinic,Lusikisiki,Bambisana Hospital,-31.451172,29.454045
Eastern Cape,Clinic,Lusikisiki,Mfundambini Clinic,-30.898802,29.519513
Eastern Cape,Clinic,Tsolo,Mbokotwana Clinic,-31.259789,28.805868
Eastern Cape,Clinic,Mt Fletcher,Taylor Bequest Hospital (Elundini),-30.689528,28.510369
