Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
Mercy Haven ,Boksburg ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Child Welfare shelter for Women and Children,Polokwane ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Far North Network on Family Violence,Thohoyandou ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Leka Gape Organization ,Lulekani ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Savf-vep Modimolle ,Modimolle ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
South Africa Vrou Federasie,Phalaborwa ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Thohoyandou Victim Empowerment,Thohoyandou ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Tifuxeni Community Counseling Centre,Elim (waterval) ,NPO ,10,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Polokwane Khuseleka One Stop Center,Polokwane ,Government run (DSD),30,Mr. Johannes Mphasha,015 293 6141,084 487 7435
Bopanang One Stop Centre,"Upington, Siyanda District",State run (DSD),5,Ms. Portia Qondani,053 874 9263,079 527 5951
Tamar,"Kimberley, Frances Baard District",NPO,15,Ms. Portia Qondani,053 874 9263,079 527 5951
Ethembeni Centre,De Aar-Prixley ka Seme District,NPO,5,Ms. Portia Qondani,053 874 9263,079 527 5951
Mtshazi Safe Home,"Alfred Nzo, Umzimvubu, MT Frere",NPO  ,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
Ubuntu Neighbours Group,"Alfred Nzo, Bizana, Ndabankulu",NPO,2,Nozodwa Kobese,(043) 605 5171,079 693 2105
Living waters One Stop Centre,"Amathole, Buffalo City, East London",NPO,13,Nozodwa Kobese,(043) 605 5171,079 693 2105
Khanyisa Community Based,Amathole,NPO,16,Nozodwa Kobese,(043) 605 5171,079 693 2105
Ikhwezi Women Support Centre,"Amathole, Amahlathi, Stutterheim",NPO,9,Nozodwa Kobese,(043) 605 5171,079 693 2105
Butterworth Safe Home,"Amathole, Mnquma, Butterworth",NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
Makan Rape Survivor Support,"Cacadu, Makana, Grahamstown",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
Joubertina Safe House,"Cacadu, Koukama, Humansdorp",NPO,6,Nozodwa Kobese,(043) 605 5171,079 693 2105
On Eagles Wings Centre,"Cacadu, Koukama, Humansdorp",NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
Bolotwa Domestic Violence,"Chris Hani, Instika Yethu, Confimvaba",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
Khuseleka Support Centre,"Chris Hani, Emalahleni, Lady Frere",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
Ezibeleni One Stop Centre,"Chris Hani, Lukhanji, Ezibeleni",NPO,20,Nozodwa Kobese,(043) 605 5171,079 693 2105
Masikhawulelane Victim Empowerment,Chris Hani ,NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
Maletswai One Stop Centre,"Joe Gqabi, Maletswai, Aliwal North",NPO,6,Nozodwa Kobese,(043) 605 5171,079 693 2105
Burgersdorp Safe Home,"Joe Gqabi, Aliwal North",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
Kwanobuhle Outreach Centre,"Nelson Mandela, NMM, Port Elizabeth",NPO,22,Nozodwa Kobese,(043) 605 5171,079 693 2105
Mtatha One Stop Centre,"O R Tambo, King Sabatha Dali",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
Safe Home,Mqanduli ,NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
Soul Winners Support Centre,"O R Tambo, Nyandeni, Libode / Ngqeleni",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
Abrina Esther House,Ashburton ,NPO ,35,Ms Renitha Veerasamy,033 264 2000,086 607 5703
The Haven ,Pietermaritzburg ,NPO ,20,Ms Renitha Veerasamy,033 264 2000,086 607 5703
KERR House ,Durban ,NPO ,15,Ms Renitha Veerasamy,033 264 2000,086 607 5703
SAHARA ,Phoenix ,NPO ,12,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Open Door,Pinetown ,NPO ,14,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Sinethemba ,Ifafa Beach ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Ethembeni Crisis Centre ,Kwandengezi ,NPO ,6,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Ekuzameni Crisis Centre ,Hillcrest ,NPO ,7,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Dundee Crisis Centre ,Dundee ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Newcastle Crisis Centre,Newcastle,NPO ,12,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Ladysmith Crisis Centre ,Ladysmith ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
VJ Kara Family Center ,Chatsworth ,NPO ,19,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Izingolweni Crisis Centre,Izingolweni ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
House of Hope ,Mandeni ,NPO ,6,Ms Renitha Veerasamy,033 264 2000,086 607 5703
Badplaas shelter,Badplaas in Gert Sibande district,NPO ,2,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Tirisano shelter ,Mammethlake in Nkangala district,NPO ,5,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Grace shelter ,Thekwane north in Ehlanzeni district,NPO ,6,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Middelburg shelter,Middelburg in Nkangala district,NPO ,5,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Grip shelter ,Nelspruit town in Ehlanzeni district,NPO ,new,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Leseding shelter,Kwaggafontein in Nkangala district,State run ,10,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
Louisville shelter,Louisville in Ehlanzeni district,State run ,10,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
