Province,Centre_number,Area,Name of Shelter,Contact Person,Telephone,Fax,Cellphone,Email
GAUTENG,10,JHB Metro,"Ikhaya Lethemba
(government-run shelter)",Conny Ramathibela  ,011 242 3000/1/38,011 242 3017,083 286 7948,Nomsa.Ramathibela@gauteng.gov.za
GAUTENG,11,JHB Metro,Eldorado Park Women's Forum,Liezel Marais,011 945 6433,011 945  4300,072 950 7526,info@epwf.org.za
GAUTENG,12,JHB Metro,Home of Hope,Khanyisile Motsa,011 331 4467,086 738 2162,073 250 2086,info@hopehome.org.za
GAUTENG,13,JHB Metro,Little Saints Bethany,Bridget Edwards,011 614 3245,011 624 2647,082 462 6495,Bethanyhome.edwards@gmail.com
GAUTENG,14,Lenasia Ext 1,Nisaa Institute for Women's Development,Batsirai Bakare,011 854 5804/5,011 854 5718,079 576 2188,batsirai@nisaa.org.za
GAUTENG,15,North Rand,Beth Shan Shelter,Major Moyo Mildred,012 379 6671,086 754 4298,083 290 1968,tsabethshan@telkomsa.net
GAUTENG,16,Sizanani Village,Mercy House,SR Colleen Wilkinson,012 329 6682,012 329 6682,076 5220 532,mail@mercyhouse.co.za
GAUTENG,17,North Rand,Mali Martin,"Rudo Mutasa
NSM Provincial Representative",013 935 8032,013 935 8031,083 684 7737,malimartin@penta-net.co.za
GAUTENG,18,North Rand,The Potter House,Musa Nkosi,012 320 2123,012 320 7473,082 978 9020,musa@tlf.org.za
GAUTENG,19,Pretoria West,Youth for Survival,Lorraine Ledwaba ,012 304 0001,,076 103 4670,"lerato.nkamba@yahoo.co.uk / 
youthforsurvival2007@gmail.com"
GAUTENG,20,"Pretoria, Atteridgeville",Re-Bafenyi Victim Empowerment,Nonthandizo Ramoshaba ,012 373 7948,,071 607 3398,centremanager@rebafenyi.org
GAUTENG,21,Sedibeng,Bella Maria,"Colleen Rodgers
(Centre Director)",016 428 1640,016 428 1741,082 401 2296,"Iti07318@mweb.co.za  /
colleen@lifelinevaal.co.za"
GAUTENG,22,West Rand,Are Areng,Mpule Thejane-Lenyehelo,"011 412 1940/
011 692 1945",,,
GAUTENG,23,West Rand,Polokego,Daisy Modutwane,011 665 1723,011 660 4673 ,082 967 0383,polokego-s@hotmail.com
GAUTENG,24,Carltonville,SAVF Deurgangshuis,Yolande Theron,018 786 1016,018 786 1017,079 888 3737,savfcville@mweb.co.za 
GAUTENG,25,Florida,POWA (West Rand),Jane Manana,011 472 6631,011 472 6631,072 171 4952,florida@powa.co.za 
GAUTENG,26,West Rand,WAWA Toekomsrus,,011 693 4504,011 693 4504,083 948 0725,info@wawagreendoor.co.za 
KWAZULU-NATAL,1,Dundee,Dundee Crisis Centre,Mrs C Bradley,034 212 2544,,079 522 2398,cc@dundeekzn.co.za
KWAZULU-NATAL,2,Durban,Kerr House                   ,Dane Elsworth/Philile Blose,031 303 2912,031 303 2912,,kerrhouse@telkomsa.net
KWAZULU-NATAL,3,Durban,Kenilworth Respite Centre,"Sabera Timol
NSM Provincial Representative",031 207 6483,,072 446 3337,krc@telkomsa.net
KWAZULU-NATAL,4,Pietermaritzburg,Abrina Esther House,June Grindley-Ferris           ,033 345 5843,033 345 2818,072 713 1285,ijestherhouse@futurenet.co.za
KWAZULU-NATAL,5,Pietermaritzburg,The Haven,Goodness Nxumalo,033 394 0228,033 394 0228,083 870 7043,thehaven@telkomsa.net
KWAZULU-NATAL,6,Pinetown,Open Door Crisis Centre,Thora Mansfield,031 709 2679,031 709 2468,,thora@opendoor.org.za
KWAZULU-NATAL,7,Pinetown,Ethembeni Crisis Centre,Abegail Mbongwa,031 704 6860,031 704 6640,072 224 3647,abegail.siza@gmail.com 
KWAZULU-NATAL,8,Sundumbili,The House of Hope and Recovery,Lungile Nsele/Phatheka Sezi,032 454 2347,,072 111 9536,lungilensele@yahoo.com
LIMPOPO,1,Polokwane,Ekuphumleni Restoration Home ThyREST,"Nobesuthu Carol Javu
NSM Provincial Representative",015 223 0091,,073 174 9185,thyrest@gmail.com
LIMPOPO,2,Polokwane,"Khuseleka One Stop Centre
(government-run shelter)",Emma Pilusa,015 293 1182-5,015 293 1186,084 466 8212  ,emma66@gmail.com
MPUMALANGA,1,Badplass,Badplass Shelter,Lucy Shongwe,017 844 1454,017 844 1002,079 929 5922,
MPUMALANGA,2,Kwa-Mhlanga,"Leseding Women's Shelter
(government-run shelter)",Sibongile Mabhena,013 947 2737,013 947 2771,072 029 5078,bongy@vodamail.co.za
MPUMALANGA,3,Low's Creek,"Louiville Shelter
(government-run shelter)",Alice Ali,013 710 0105,,,mohlapep@gmail.com
MPUMALANGA,4,Malubane Mkhuhlu,Calcultta Shelter,Gertrude Nsibande,013 007 0864,086 551 1616,072 460 3556,calcuttavictimempowerment@gmail.com
MPUMALANGA,5,Middleburg,Victim Support Centre (shelter closed but psychosocial services still on offer),"Fisani Mahlangu
NSM Executive & Provincial Representative",013 243 2732,013 243 2731,079 3109 633,mburgvictimsupport@telkom.net
MPUMALANGA,6,Mmametlhake,Tirisano Victim Empowerment Centre,Phumzile Masombuka,012 721 3872,012 721 3870,074 282 5328,masombukaphumzile@gmail.com
MPUMALANGA,7,Msogwaba,Grace Shelter,Nomvula Magagula,,,076 471 2123,nomvulasimphiwe@gmail.com 
MPUMALANGA,8,Nelspruit,Grip Shelter,Nomonde Mkhatshwa,013 752 4404,013 752 4497,082 514 5033,licky@grip.org.za
MPUMALANGA,9,Thulamahashe,Mhala Shelter,Pearl Rikhotso,013 773 9871 ,013 773 0871,079 819 0923,pearlr.mp@gmail.com
NORTHERN CAPE,1,De Aar,Ethembeni Community  and Trauma Centre,"Clair Adriaanse/
Rosaline Bailey 
NSM Provincial Representative",053 631 4379,053 631 4379,0800212321/ 0738888738,ectc@telkomsa.net
NORTHERN CAPE,2,Upington,"Bopanang One Stop Centre
(government-run shelter)",Valarie Syster,054 332 3876,054 332 3620,079 8841834,cvoss@ncpg.gov.za
NORTHERN CAPE,3,Kimberley,"Kimberely Shelter
(government-run shelter)",P. Qondani,053 874 9263,,079 527 5951,PQondani@ncpg.gov.za
NORTHERN CAPE,4,Kimberley,Tamar Shelter (currenly under renovation),Yvonne Chan Yan,053 8321954,,082 6771158,yvonne.chanyan@gmail.com
NORTH WEST,1,Mooi Nooi,Grace Help Shelter,Rina van der Berg,014 574 3476,086 672 0022,072 348 6526,gracecentre@mweb.co.za 
WESTERN CAPE,1,Athlone,Saartjie Baartman Womens Centre,Dorothea Gertse,021 633 5287,021 637 3487,083 311 6667,dorothea@womenscentre.co.za
WESTERN CAPE,2,Atlantis,United Sanctuary Against Abuse,Sharna Bolters,021 572 8662,021 572 8662,073 899 9534,ussa@lantic.net
WESTERN CAPE,3,Claremont,Mater Domini Home ,Maud Stellenboom,021 671 6008,021 671 6008,079 891 6749,cecia@materdominihome.org
WESTERN CAPE,4,Fishhoek,The Safehouse,Kathy Cronje,021 7851168,086 634 0371,084 307 9102,kathy@thesafehouse.org.za
WESTERN CAPE,5,Gatesville,Carehaven,Marinda Lang (Captain),021 638 5511,021 637 0226,082 990 4579,careaids@iafrica.com
WESTERN CAPE,6,George East,BWP Oteniqua Refuse for Women & Children ,Maryda Squire,044 875 1551,044 875 1551,071 196 5699,phambilirefuge@etimemail.co.za
WESTERN CAPE,7,Gugulethu,Dorothy Zihlangu Transitional Home,Sipokazi Bona,021 633 2383,021 633 9524,073 007 0268,admin@ilithalabantu.org
WESTERN CAPE,8,Kenilworth,Sisters Incorporated,"Delene Roberts
NSM Provincial Representative ",021 797 4190,021 797 4190,072 898 4564,manager@sisters.org.za
WESTERN CAPE,9,Khayelitsha,Nonceba Centre Trust,Pauline Perez,021 364 0135,021 361 0323,084 427 4075,Admin@nonceba.org / perez@nonceba.org
WESTERN CAPE,10,Mossel Bay,Creating Effective Families ,Estelle Du Plessis,044 693 1092,086 532 7532,,cefm@absamail.co.za 
WESTERN CAPE,11,Paarl,Athlone House of  Hope,Charles Okkers,021 862 9983,086 535 7715,084 222 9171,ahosreception@gmail.com
WESTERN CAPE,12,Parow,St Mary's Home of Hope,Maria Basson,021 930 0700,021 930 0800,083 238 9167,st.m.ofhope@gmail.com
WESTERN CAPE,13,Philipi,Sizakuenza ,Nontembiso Mevana,021 374 0800,,,sizakuena.new@gmail.com
WESTERN CAPE,14,Ravensmead,Dusk to Dawn ,Monica Horn,021 931 320,021 938 3181/2,073 444 1823,sonia.dusktodawn@gmail.com
WESTERN CAPE,15,Stellenbosch,L Abrie de Dieu Safe House,Lee Rossouw,021 883 2572,021 883 2574,079 689 0453,lee@safehousestellenbosch.co.za
WESTERN CAPE,16,Vredenberg,Siyabonga Shelter,Jane Moss,022 7134050,,083 587 5444,siyabongashelter@gmail.com  
WESTERN CAPE,17,Welcome Estate,Ihata ,Nuraan Osman,021 638 6678,021 638 7239,083 712 2703,estatemanager@ihatashelter.org.za
WESTERN CAPE,18,Woodstock,St. Annes Homes ,"Joy Lange
NSM Executive Member",021 448 6792,021 448 8518,071 906 3949,info@stanneshomes.org.za
WESTERN CAPE,19,Worcester,House of Hope,Sonia,023 342 3167,023 342 3167,,
