Region,Proclaimed Magisterial District,Court Type,Office Name,Previously known as,Also known as,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,postal_adress,adress,GPS
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Alldays</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 516 0181/2/3']","[<span class=""officecolor"">Fax: </span>, '015 516 0044']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2403, Louis Trichardt 0920']","[<span class=""officecolor"">Physical Address: </span>, 'Rooibos Street, SAPS Alldays\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-22.68185; 29.10505\t']"
"[<span class=""officecolor"">Region:</span>, ' KwaZulu-Natal']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Amanzimtoti</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '031 903 0602 ']","[<span class=""officecolor"">Fax: </span>, '031 903 5320']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2006, Amanzimtoti 4124']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Nelson & Adams Road, Amanzimtoti 4126\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 30.8801; S -30.05127\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Amersfoort']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Amersfoort</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 753 1004/1070']","[<span class=""officecolor"">Fax: </span>, '017 753 1559']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X404, Amersfoort 2490']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Plain &Sybrand van Niekerk Street, Amersfoort 2490\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-27.00805; 29.87206\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Ermelo']","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Amsterdam</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 846 9265']","[<span class=""officecolor"">Fax: </span>, '017 846 9265 tel/fax']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1001, Amsterdam 2375']","[<span class=""officecolor"">Physical Address: </span>, '93 President Street, Amsterdam 2375\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.62343; 30.66065\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ashton</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '023 614 1105']","[<span class=""officecolor"">Fax: </span>, '023 614 3974']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5, Montagu 6720']","[<span class=""officecolor"">Physical Address: </span>, 'Station Road, Ashton\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 20.06686; S -33.83376\t']"
"[<span class=""officecolor"">Region:</span>, ' North West']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Assen</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '012 252 3223']","[<span class=""officecolor"">Fax: </span>, '012 252 3223']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5002, Brits 0250']","[<span class=""officecolor"">Physical Address: </span>, 'Assen Police Station\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.16724; 27.60205\t']"
"[<span class=""officecolor"">Region:</span>, ' North West']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Atamelang']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Atamelang</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>, 'Yes']","[<span class=""officecolor"">Tel: </span>, '018 334 2935/ 3520/ 2200/ 2142']","[<span class=""officecolor"">Fax: </span>, '018 334 3521']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1014, Atamelang 2732']","[<span class=""officecolor"">Physical Address: </span>, '1026 Simi Seadi Avenue, Atamelang 2732\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.50188; 25.36968\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Athlone</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '021 697 1246']","[<span class=""officecolor"">Fax: </span>, '021 697 1746']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Athlone 7760']","[<span class=""officecolor"">Physical Address: </span>, 'Old Klipfontein Road, Athlone 7764\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 18.50645; S -33.96148\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Atlantis (Sub) (District of Malmesbury)']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Atlantis</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>, 'Yes']","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '021 572 1003']","[<span class=""officecolor"">Fax: </span>, '021 572 3230']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2, Reygersdal 7352']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Wesfleur Circle & Reygersdal Street, Wesfleur\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 18.49383; S -33.56632\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Atteridgeville']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Atteridgeville</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '012 373 1140']","[<span class=""officecolor"">Fax: </span>, '012 373 1137']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Atteridgeville 0008']","[<span class=""officecolor"">Physical Address: </span>, '1 Hlahla Street, Atteridgeville 0008\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.77375; 28.0718\t']"
"[<span class=""officecolor"">Region:</span>, ' Northern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Augrabies</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Kakamas']","[<span class=""officecolor"">Fax: </span>]","[<span class=""officecolor"">Postal Address: </span>]","[<span class=""officecolor"">Physical Address: </span>, ' ']","[<span class=""officecolor"">GPS Coordinates: </span>, ' ']"
"[<span class=""officecolor"">Region:</span>, ' KwaZulu-Natal']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Babanango']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Babanango</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '035 835 0044']","[<span class=""officecolor"">Fax: </span>, '035 835 0007']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Babanango 3850']","[<span class=""officecolor"">Physical Address: </span>, 'Lot 59, c/o Justice & Main Street, Babanango 3850\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 31.08322; S -28.37697\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Balfour [EC]</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Seymour']","[<span class=""officecolor"">Fax: </span>]","[<span class=""officecolor"">Postal Address: </span>]","[<span class=""officecolor"">Physical Address: </span>, ' ']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.67652; S -32.53637\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Balfour']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Balfour [MP]</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 773 0157']","[<span class=""officecolor"">Fax: </span>, '017 773 1127']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1001, Balfour 2410']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Themba Shozi & Frank Street, Balfour 2410\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.66341; 28.58758\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Bandelierkop</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 516 0181/2/3']","[<span class=""officecolor"">Fax: </span>, '015 516 0044']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X2403, Louis Trichardt 0920']","[<span class=""officecolor"">Physical Address: </span>, 'SAPS Bandelierkop\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.3178; 29.80374\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Barberton']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Barberton</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 712 2104/ 3284/ 3267']","[<span class=""officecolor"">Fax: </span>, '013 712 5122']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1614, Barberton\xa0 1300']","[<span class=""officecolor"">Physical Address: </span>, 'President Plein, De Villiers Street, Barberton 1300. Next to the Municipality Building.\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.78954; 31.05255\t']"
