Adress,Court Type,Equality Court,GPS,Mediation Services,Office Name,Region,Sexual Offence Court,Small Claims Court,adress,fax,telephone
Andreu Tupin Street Bedford 5780,Magistrate Court,Yes,-32.67953 26.08796,No,Bedford,Eastern Cape,No,Yes,,046 685 0476,046 865 0020
22 Moffat (c/o Moffat & Pretoria) Street Bela-Bela 0480,Magistrate Court,Yes,-24.88281; 28.29105,No,Bela-Bela,Limpopo,No,Yes,,014 736 5210/ 0865075648,014 736 2231
c/o Voortrekker Road & Landdros Street Bellville 7535,Magistrate Court,Yes, 18.62185;  -33.90249,No,Bellville,Western Cape,No,Yes,,021 945 2255/ 949 6514,021 950 7700/7820
69 Harpur Street Benoni 1500,Magistrate Court,Yes,-26.19365; 28.32041,Yes,Benoni,Gauteng,No,Yes,,011 421 7213,011 746 7600/1
Sharrat Street Bergville 3350,Magistrate Court,Yes,-28.73194 29.35447,No,Bergville,KwaZulu-Natal,No,Yes,,036 448 1366,036 448 1015/6
60 Chris Hani  [Mark Street Bethal 2310,Magistrate Court,Yes,-26.45553; 29.46524,No,Bethal,Mpumalanga,No,Yes,,017 647 3720,017 647 6511
Tribal Street Moseja Section,Periodical Court,No,-25.55169; 27.60138,No,Bethanie,North West,No,No,,012 703 2223/3189,012 700 8255
c/o Oxford & Grey Street Bethlehem 9700,Magistrate Court,Yes, 28.30458;  -28.22987,No,Bethlehem,Free State,Yes,Yes,,058 303 1541,058 303 5386
16 Joubert Street Bethulie 9992,Magistrate Court,Yes, 25.97268;  -30.49535,No,Bethulie,Free State,No,Yes,,051 763 0524,051 763 0005
,Periodical Court,No,-31.9858 27.20082,No,Bholothwa,Eastern Cape,No,No,,,See Lady Frere
c/o N14 and R52 Biesiesvlei,Periodical Court,No,-26.37827; 25.9035,No,Biesiesvlei,North West,No,No,,018 632 3619,018 632 7900
c/o Myrtle Road & Valhalla Avenue Bishop Lavis 7490,Branch Court,No, 18.56676;  -33.94619,No,Bishop Lavis,Western Cape,No,No,,021 934 1072,021 934 1021/1664/1379
n/a,Periodical Court,No,-31.80992 28.53489,No,Bityi,Eastern Cape,No,No,,,See Mthatha
Erf 104 Main Street (R61) Bizana 4800,Magistrate Court,Yes,-30.85565 29.8555,No,Bizana,Eastern Cape,No,Yes,,039 251 0211 / 0534,071 4640 401/ 082 324 1283/ 039 251 0210
c/o St George’s & President Brand Street Bloemfontein 9301,Magistrate Court,Yes, 26.2165;  -29.12004,No,Bloemfontein,Free State,Yes,Yes,,051 447 6854,051 506 1111
38 Kerk Street Bloemhof 2660,Magistrate Court,Yes,-27.6497; 25.60204,Yes,Bloemhof,North West,No,Yes,,053 433 2220,053 433 1035
Eerste Rivier Street Bluedowns 7100,Branch Court,No, 18.68644;  -33.97949,No,Bluedowns,Western Cape,No,No,,021 909 9072,021 909 9000
,Periodical Court,No,-33.68003 26.667,No,Boesmansriviermond,Eastern Cape,No,No,,,See Alexandria
Cnr Trichardt & Adderley Str Boksburg 1460,Detached Court,Yes,-26.22538; 28.25227,No,Boksburg,Gauteng,No,Yes,,011 917 1177,011 917 9620-6 / 9153-8
2 Coetzee Street Bonnievale 6730,Periodical Court,No, 20.10088;  -33.93929,No,Bonnievale,Western Cape,No,Yes (Sessions Only),,023 616 2371,023 616 2150
JQ381 Elandsfontein Boons,Periodical Court,No,-25.96677; 27.23693,No,Boons,North West,No,No,,014 543 4880,014 543 2024/2357
426 Booysens Road Booysens 2016,Branch Court,No,-26.233462; 28.021827,No,Booysens,Gauteng,No,No,,011 433 5297,011 491 5115
Near Schoemansdal  SAPS Cnr Schoemansdale and Boschfontein Road,Branch Court,No,-25.71414; 31.6118,No,Boschfontein,Mpumalanga,Yes,No,,013 780 0747,013 780 3312 /3153
Cnr Market & De Kock Street Vryburg 8601,Periodical Court,No,-26.95809; 24.727233,No,Boshoek,North West,No,No,,053 927 2309,053 928 4209
4 Van Zyl Street Boshof 8340,Magistrate Court,Yes, 25.23639;  -28.53925,No,Boshof,Free State,No,Yes,,053 541 0534,053 541 0017
31 President Avenue Bothaville 9660,Magistrate Court,Yes, 26.61618;  -27.39389,No,Bothaville,Free State,No,Yes,,056 515 3175,056 515 2031
n/a,Periodical Court,No,-27.06505; 23.82835,No,Bothithong,Northern Cape,No,No,,053 773 1502/1156,053 773 1868/ 1869/ 1307/ 1550
c/o Hospital & Stand Street Botshabelo 9781,Magistrate Court,Yes, 26.71375;  -29.23168,No,Botshabelo,Free State,Yes,Yes,,051 534 1416,051 534 1078
Prince George & Kritzinger Street Brakpan 1541,Detached Court,Yes,-26.23825; 28.36591,No,Brakpan,Gauteng,No,Yes,,011 746 8369,011 746 8300/8
69 Voortrekker Street Brandfort 9400,Magistrate Court,Yes, 26.45932;  -28.70282,No,Brandfort,Free State,No,Yes,,051 821 1602 /1004,051 821 2211
69 Hoof Street Brandvlei,Periodical Court,No,-30.46395; 20.48972,No,Brandvlei,Northern Cape,No,Yes (Sessions Only),,027 341 1483,027 341 1017/ 2920
Paddon Road Bray,Periodical Court,No,-25.4577; 23.71557,No,Bray,North West,No,No,,053 927 2309,053 928 4209
22 Long Street Bredasdorp 7280,Magistrate Court,Yes, 20.03966;  -34.53231,No,Bredasdorp,Western Cape,No,Yes,,028 424 1904,028 424 1139
305 Breytenbach Street Breyten 2330,Branch Court,No,-26.30286; 29.98789,No,Breyten,Mpumalanga,No,Yes (Sessions Only),,017 861 3561,017 861 3026
Cnr Van Velden & Court Street Brits 0250,Magistrate Court,Yes,-25.63501; 27.77902,Yes,Brits,North West,Yes,Yes,,012 252 3223,012 252 3416 / 0676
22 Long Street Britstown 8782,Magistrate Court,Yes,-30.58919; 23.50358,No,Britstown,Northern Cape,No,Yes,,053 672 0464,053 672 0012
Cnr High & Mercury Street Brixton 2019,Branch Court,No,-26.19322; 27.99333,No,Brixton,Gauteng,No,No,,011 837 6349,011 839 2768
38 Kruger Street Bronkhorstspruit 1020,Detached Court,Yes,-25.80778; 28.74458,No,Bronkhorstspruit,Gauteng,No,Yes,,013 932 2880,013 932 2901-3
Potchefstroom Parys Main Road Buffelshoek,Periodical Court,,-26.80362; 27.39961,No,Buffelshoek,North West,No,,,,See Potchefstroom
Near SAPS Bulgerivier,Periodical Court,No,-24.12652; 27.69397,No,Bulgerivier,Limpopo,No,No,,014 763 3840,014 763 2178
5 McCullem Street Bultfontein 9670,Magistrate Court,Yes, 26.1533;  -28.2902,No,Bultfontein,Free State,No,Yes,,051 853 1851 /1119,051 853 1126
Church Street  Burgersdorp 9744,Magistrate Court,Yes,-30.99471 26.33137,No,Burgersdorp,Eastern Cape,No,Yes,,051 653 1129,051 653 1833
7 Justice Street Burgersfort,Branch Court,No,-24.67995; 30.3297,Yes,Burgersfort,Limpopo,No,No,,013 235 3411,013 235 2325/6/7
R533 Near SAPS Graskop Road Bushbuckridge 1280,Magistrate Court,Yes,-24.83612; 31.06877,No,Bushbuckridge,Mpumalanga,No,Yes,,013 799 0407,013 799 0211/ 12
52 Blyth Street Butterworth 4960,Magistrate Court,Yes,-32.33077 28.14535,No,Butterworth,Eastern Cape,Yes,Yes,,047 491 0904,047 491 3271
Umtata Road 472 Cala 5455,Magistrate Court,Yes,-31.52342 27.69345,No,Cala,Eastern Cape,No,Yes,,047 877 0093,047 877 0135
28 Church Street Caledon 7230,Magistrate Court,Yes, 19.42972;  -34.23221,No,Caledon,Western Cape,No,Yes,,028 214 1630,028 212 1076
13 Queen Street Calitzdorp 6660,Magistrate Court,Yes, 21.68649;  -33.5337,No,Calitzdorp,Western Cape,No,Yes,,044 213 3013,044 213 3309
26 Stigling Street Calvinia 8190,Magistrate Court,Yes,-31.47384; 19.77341,No,Calvinia,Northern Cape,No,Yes,,027 341 1483,027 341 1017
10 Bishop Street Camperdown 3720,Magistrate Court,Yes,-29.72945 30.54196,No,Camperdown,KwaZulu-Natal,No,Yes,,031 785 1652,031 785 1155/6/7
Iustitia Building c/o Caledon & Parade Street Cape Town 8001,Magistrate Court,Yes, 18.42324;  -33.92683,No,Cape Town,Western Cape,Yes,Yes,,021 461 1948,021 401 1511
17 Norlen House Cape Town,Branch Court,No, 18.424;  -33.92702,No,Cape Town Community Court,Western Cape,No,No,,021 461 1948,021 401 1544/ 1547
9 Hanau Street Carnarvon 8925,Magistrate Court,Yes,-30.96974; 22.12965,No,Carnarvon,Northern Cape,No,Yes,,053 382 3725,053 382 3001
38 Voortrekker Street Carolina 1185,Magistrate Court,Yes,-26.06994; 30.11698,No,Carolina,Mpumalanga,No,Yes,,017 843 2500,017 843 1033
Main Street Cathcart 5310,Magistrate Court,Yes,-32.29775 27.14447,No,Cathcart,Eastern Cape,No,Yes,,045 843 1692,045 843 1027
CCSC Building Bell Street Centane 4980,Magistrate Court,Yes,-32.50991 28.31996,No,Centane,Eastern Cape,No,Yes,,047 498 1035,047 498 1033
100 Napier Street Lyttleton Centurion,Periodical Court,No,-25.82718; 28.20543,No,Centurion,Gauteng,No,No,,012 328 6546,012 319 4000
44 Voortrekker Road Ceres 6835,Magistrate Court,Yes, 19.30676;  -33.37161,No,Ceres,Western Cape,No,Yes,,023 316 1190,023 312 1112 / 1188/ 1189/ 1067
234 Botha Street Charl Cilliers 2301 [at Police Station ,Periodical Court,,-26.664883; 29.189887,No,Charl Cilliers,Mpumalanga,No,,,017 634 8540,017 640 0236
Hollard Street Charlestown,Periodical Court,No,-27.41492 29.87248,No,Charlestown,KwaZulu-Natal,No,No,,034 315 1607,034 312 1166/7/8
1 Justice Street Unit 5  Chatsworth 4030,Magistrate Court,Yes,-29.91076 30.88408,No,Chatsworth,KwaZulu-Natal,No,Yes,,031 403 0301,031 403 3227/ 2231/ 3281/ 3282
69 Parkwood Street SAPS Chrissies Meer,Periodical Court,No,-26.28052; 30.21357,No,Chrissies Meer,Mpumalanga,No,No,,017 819 2735,017 819 3462/ 63/66
17\xa0 Pretorius Street Christiana 2680,Detached Court,Yes,-27.9104; 25.16982,No,Christiana,North West,No,Yes,,053 441 3958,053 441 2205
Voortrekker Ave Citrusdal,Periodical Court,No, 19.01136;  -32.58819,No,Citrusdal,Western Cape,No,No,,027 482 2412,027 482 2114/5
4 Hoof Street Clanwilliam 8135,Magistrate Court,Yes, 18.89238;  -32.17091,No,Clanwilliam,Western Cape,No,Yes,,027 482 2412,027 482 2114/5
Church Street,Periodical Court,No, 28.41976;  -28.51545,No,Clarens,Free State,No,No,,058 303 1541,058 303 5386
Dirkie Uys Avenue Clocolan 9735,Magistrate Court,Yes, 27.56832;  -28.91609,No,Clocolan,Free State,No,Yes,,051 943 0963,051 943 0409
High Street Confimvaba 5380,Magistrate Court,Yes,-32.00074 27.58029,No,Cofimvaba,Eastern Cape,No,Yes,,047 874 0555,047 874 0008
Sir George Street Colenso 3360,Periodical Court,No,-28.73448 29.82326,No,Colenso,KwaZulu-Natal,No,Yes,,036 422 2545,036 422 2203
8 Campbell Street Colesberg 9795,Magistrate Court,Yes,-30.71992; 25.09577,No,Colesberg,Northern Cape,Yes,Yes,,051 753 8450,051 753 8400
65 Voortrekker Street Coligny 2725,Detached Court,Yes,-26.3323; 26.31589,No,Coligny,North West,No,Yes,,018 673 1378/1551,018 673 1053
End Street,Periodical Court,No,-32.74986 25.80045,No,Cookhouse,Eastern Cape,No,No,,,See Somerset East
7 Ritcherd Street,Periodical Court,No, 28.85382;  -27.23581,No,Cornelia,Free State,No,No,,058 913 2747,058 913 1024
50 Market Square Cradock 5880,Magistrate Court,Yes,-32.16883 25.61805,No,Cradock,Eastern Cape,No,Yes,,048 881 2958,048 881 1378
2 School Road Cullinan 1000,Detached Court,Yes,-25.67871; 28.5357,No,Cullinan,Gauteng,No,Yes,,012 734 1989,012 734 1024/25
Farm Station near Cumberland SAPS,Periodical Court,No,-23.97596; 26.9198,No,Cumberland,Limpopo,No,No,,014 772\xa0 2523,014 777 1543
n/a,Periodical Court,No,-31.6218 28.19319,No,Dalasile,Eastern Cape,No,No,,,See Ngcobo
4 Park Road Danielskuil,Periodical Court,No,-28.1827; 23.54321,No,Danielskuil,Northern Cape,No,Yes (Sessions Only),,053 313 2580,053 313 1155
6 Church Street Dannhauser 3080,Magistrate Court,Yes,-28.01311 30.05773,No,Dannhauser,KwaZulu-Natal,No,Yes,,034 621 2986,034 621 2227
Main Road Darling,Periodical Court,No, 18.38266;  -33.37655,No,Darling,Western Cape,No,No,,022 482 4307,022 482 1121/ 1166/ 1141
Davel SAPS Station ,Periodical Court,No,-26.4479; 29.66766,No,Davel,Mpumalanga,No,No,,017 819 2735,017 819 3462/ 63/66
Embusweni Road Daveyton,Detached Court,Yes,-26.15317; 28.41495,No,Daveyton,Gauteng,No,Yes,,n/a,011 424 1200
43 Voortrekker Street De Aar 7000,Magistrate Court,Yes,-30.65054; 24.01046,No,De Aar,Northern Cape,Yes,Yes,,053 631 1588,053 631 2184
53 Voortrekker Weg De Doorns,Periodical Court,No, 19.66592;  -33.47451,No,De Doorns,Western Cape,No,No,,023 347 5024,023 342 2325
Cnr Van Velden & Court Street Brits 0250,Periodical Court,No,-25.634779; 27.779294,No,De Wildt,North West,No,No,,012 252 3223,012 252 3223
10 School Street Dealesville 9348,Periodical Court,No, 25.76341;  -28.67555,No,Dealesville,Free State,No,Yes (Sessions Only),,051 811 0204,051 811 0022
1 Hoof Street Dibeng,Periodical Court,No,-27.59847; 22.88326,No,Deben,Northern Cape,No,No,,053 313 2580,053 313 1155
23 General Delarey Street Delareyville 2770,Magistrate Court,Yes,-26.68668; 25.4575,No,Delareyville,North West,No,Yes,,053 948 0904,053 948 9300
1 Dolomiet Street Delmas 2210,Magistrate Court,Yes,-26.14527; 28.68632,No,Delmas,Mpumalanga,No,Yes,,013 665 5778,013 665 2081/ 2082/ 2042
4 Scholts Street Delportshoop,Periodical Court,No,-28.41655; 24.30995,No,Delportshoop,Northern Cape,No,No,,053 531 0812,053 531 0621/23
c/o Tria & Selbourne Streets Devon,Periodical Court,No,-26.3565; 28.78579,No,Devon,Gauteng,No,No,,011 814 5488,011 814 8261-3
16 Church street Dewetsdorp 9940,Magistrate Court,Yes, 26.66253;  -29.58432,No,Dewetsdorp,Free State,No,Yes,,051 541 0754,051 541 0021
Next to Police Station,Branch Court,No,-24.61497; 30.80556,No,Dientjie,Mpumalanga,No,No,,013 799 0211/0212,013 799 0211/0212
Next to SAPS,Branch Court,No,-32.83299 27.20609,No,Dimbaza,Eastern Cape,No,No,,,See Zwelitsha
Main Road (R543) SAPS Dirkiesdorp,Periodical Court,No,-27.173453; 30.402433,No,Dirkiesdorp,Mpumalanga,No,No,,017 730 0147,017 730 0156
Old Main Road Donnybrook,Periodical Court,No,-29.92981 29.87934,No,Donnybrook,KwaZulu-Natal,No,No,,039 832 9461,039 832 0016/0047
Mark Plein Nr 2 Dordrecht 5435,Magistrate Court,Yes,-31.3747 27.04855,No,Dordrecht,Eastern Cape,No,Yes,,045 943 1661/5,045 943 1008
Off the R33,Periodical Court,No,-24.06071; 28.16088,No,Dorset,Limpopo,No,No,,014 717 5369,014 717 5316
14 Rhodes Street Douglas 8730,Magistrate Court,Yes,-29.05633; 23.77443,No,Douglas,Northern Cape,No,Yes,,053 298 2809,053 298 1011
Cnr Market Street & Berg Rivier Boulevard Paarl 7622,Periodical Court,No,,No,Drakenstein Prison,Western Cape,No,No,,021 872 9116,021 872 3127
P77 Dududu Main Road Scottburgh 4180,Branch Court,No,-30.192860 30.617287,No,Dududu,KwaZulu-Natal,No,Yes (Sessions Only),,039 974 0146,039 974 0142
Dukuza Township Bergville 3350,Branch Court,No,-28.74964 29.20826,No,Dukuza,KwaZulu-Natal,No,No,,036 438 6063,036 438 6063/4
175 Voortrekker Street Dullstroom,Periodical Court,No,-25.4183; 30.10481,No,Dullstroom,Mpumalanga,No,No,,013 253 0035,013 253 1138/ 1147
34 Beaconsfield Street Dundee 3000,Magistrate Court,Yes,-28.16163 30.23335,No,Dundee,KwaZulu-Natal,No,Yes,,034 218 2494,034 212 1179
23 Porter Road Dunnottar,Periodical Court,No,-26.35112; 28.43841,No,Dunnottar,Gauteng,No,No,,011 814 5488,011 814 8261-3
Cnr Somtseu & Stanger Street Durban 4001,Magistrate Court,Yes,-29.84468 31.02868,No,Durban,KwaZulu-Natal,Yes,Yes,,031 332 5006,031 302 4111
Next to Police Station Idutywa 5000,Magistrate Court,Yes,-32.09893 28.30458,No,Dutywa,Eastern Cape,No,Yes,,047 489 1449,047 489 1234
SAPS Dwaalboom,Periodical Court,No,-24.72723; 26.80745,No,Dwaalboom,Limpopo,No,No,,014 772\xa0 2523,014 777 1543
Makadu Location Road D3669 [Hillside Street Louis Trichardt 0920,Magistrate Court,Yes,-22.89556; 30.03808,No,Dzanani,Limpopo,No,Yes,,015 970 4332,015 970 4005
Dzumeri Tribal Council,Periodical Court,No,-23.30713; 30.70588,No,Dzumeri,Limpopo,No,No,,015 812 0423,015 812 3275
4 Buffalo Street East London 5200,Magistrate Court,Yes,-33.02075 27.90372,No,East London,Eastern Cape,Yes,Yes,,043 743 0840,043 702 8000
21 Van Dyk Street Edenburg 9908,Magistrate Court,Yes, 25.93777;  -29.73755,No,Edenburg,Free State,No,Yes,,051 743 1122,051 743 1102
Cnr Linksfield & 1st Avenue Edenvale 1609,Branch Court,No,-26.149515; 28.150312,No,Edenvale,Gauteng,No,No,,011 453 9996,011 453 9996
1 Jordan Street Edenville 9535,Periodical Court,No, 27.67431;  -27.55514,No,Edenville,Free State,No,Yes,,056 631 0393,056 631 0014
Stand No. 9 Police Station Road Elukwatini 1192,Magistrate Court,Yes,-26.06114; 30.78769,Yes,Eerstehoek,Mpumalanga,Yes,Yes,,017 883 0091/1283,017 883 0090/ 9802
4995 Section D Ekangala 1021,Detached Court,Yes,-25.691407; 28.742122,Yes,Ekangala,Gauteng,No,Yes,,013 930 0238,013 934 4249/50
Next to Ekuvukeni Police Station Wasbank Ekuvukeni 3381,Branch Court,No,-28.46148 30.15579,No,Ekuvukeni,KwaZulu-Natal,No,No,,034 261 1695,034 261 1039
Old Main Road Elandslaagte,Periodical Court,No,-28.4012 29.95882,No,Elandslaagte,KwaZulu-Natal,No,No,,036 631 0498,036 637 6771/2; 637 6763/4
Near Waterval Police Station,Magistrate Court,Yes,-23.15916; 30.07591,No,Elim,Limpopo,No,Yes,,015 556 4110,015 556 4091/4052
34 Voortrekker Street Elliot 5460,Magistrate Court,Yes,-31.33314 27.85055,No,Elliot,Eastern Cape,No,Yes,,045 931 1312,045 931 1013
Erf 91 Main Street Elliotdale 5070,Magistrate Court,Yes,-31.96836 28.6847,No,Elliotdale,Eastern Cape,No,Yes,,047 577 0344,047 577 0003
1 Third Avenue Waterval Boven 1195,Magistrate Court,Yes,-25.64478; 30.32519,No,Emgwenya,Mpumalanga,No,Yes,,013 257 0670,013 257 0004
V 1318 Mangosuthu High Way Umlazi 4066,Magistrate Court,Yes,-29.96176 30.92512,No,Emlazi,KwaZulu-Natal,Yes,Yes,,031 907 1480,031 907 3955/ 1670
6 Union Street Empangeni 3880,Magistrate Court,Yes,-28.74345 31.89247,No,Empangeni,KwaZulu-Natal,No,Yes,,035 792 2527,035 772 1711/2/3
17 Jan van Riebeeck Street Ermelo 2350,Magistrate Court,Yes,-26.52318; 29.98344,No,Ermelo,Mpumalanga,No,Yes,,017 819 2735,017 819 3462/ 63/66
c/o Main & William Chadwick Streets Eshowe 3815,Magistrate Court,Yes,-28.90295 31.45578,No,Eshowe,KwaZulu-Natal,No,Yes,,035 474 4367,035 474 1127/8
H11 Ilanda Street Esikhawini 3887,Branch Court,No,-28.87444 31.90471,No,Esikhawini,KwaZulu-Natal,No,No,,035 796 2074,035 796 0122
172 Albert Street Estcourt 3310,Magistrate Court,Yes,-29.00583 29.87265,No,Estcourt,KwaZulu-Natal,No,Yes,,036 352 1270,036 352 3030/3032
Cnr Solly Zwane St & Bologna Street Evander 2280,Magistrate Court,Yes,-26.46967; 29.10738,Yes,Evander,Mpumalanga,No,Yes,,017 632 2835,017 632 2204
Commission Street Excelsior 9760,Magistrate Court,Yes, 27.06033;  -28.93859,No,Excelsior,Free State,No,Yes,,051 973 0518,051 973 0017
797 Ingonyama Street Opposite SAPS Ezakheni 3381,Detached Court,No,-28.59661 29.92848,No,Ezakheni,KwaZulu-Natal,No,Yes,,036 636 2286,036 636 1312/3
Ntlabathi Street Ezibeleni 5326,Branch Court,No,-31.91099 26.95343,No,Ezibeleni,Eastern Cape,No,No,,047 873 2239,047 873 1065
100 Van Riebeeck Street Belfast 1100,Magistrate Court,Yes,-25.69342; 30.03615,No,eMakhazeni,Mpumalanga,No,Yes,,013 253 0035,013 253 1138/ 1147
14 Delville Street eMalahleni 1035,Magistrate Court,Yes,-25.8761; 29.2126,No,eMalahleni,Mpumalanga,No,Yes,,013 656 5023,013 656 2221/ 2222/ 2223/ 2240/ 2249
SAPS Robertson Street Badplaas,Periodical Court,No,-25.95844; 30.56844,No,eManzana,Mpumalanga,No,No,,017 843 2500,017 843 1033
23 Church Street Piet Retief 2380,Magistrate Court,Yes,-27.00406; 30.80305,No,eMkhondo,Mpumalanga,No,Yes,,017 826 2085 Tel/Fax,017 826 2085
8 Plein Street Machadodorp,Periodical Court,No,-25.66838; 30.25337,No,eNtokozweni,Mpumalanga,No,No,,013 253 0035,013 253 1138/ 1147
52 Voortrekker Street Fauresmith 9978,Magistrate Court,Yes, 25.31177;  -29.74652,No,Fauresmith,Free State,No,Yes,,051 723 0103,051 723 0002
16 Voortrekker Street Ficksburg 9730,Magistrate Court,Yes, 27.87423;  -28.87131,No,Ficksburg,Free State,No,Yes,,051 933 4479,051 933 2201
Main Street (R61) Flagstaff 4810,Magistrate Court,Yes,-31.08061 29.5007,No,Flagstaff,Eastern Cape,No,Yes,,039 252 0182,039 252 0127/ 0188
Cnr Losberg Avenue & 9th Str Fochville 2515,Detached Court,No,-26.49291; 27.49447,No,Fochville,Gauteng,No,Yes,,018 771 4188,018 771 2017
c/o Jackson & Main Plettenberg Bay ,Periodical Court,No, 23.37173;  -34.05771,No,Formosa,Western Cape,No,No,,044 382 2708,044 382 1141/ 2/3
Market Street 4 Fort-Beaufort 5720,Magistrate Court,Yes,-32.77756 26.63076,No,Fort Beaufort,Eastern Cape,No,Yes,,046 645 4075,046 645 1104
40 Reitz Street Fouriesburg 9725,Magistrate Court,Yes, 28.20728;  -28.61974,No,Fouriesburg,Free State,No,Yes,,058 223 0652,058 223 0203 / 303 5386
24 Van Reenen Street Frankfort 9830,Magistrate Court,Yes, 28.49206;  -27.27686,No,Frankfort,Free State,No,Yes,,058 813 1638,058 813 1000
n/a,Periodical Court,No, 19.1491;  -33.902,No,Franschoek,Western Cape,No,No,,021 872 9116,021 872 3127
54 Voortrekker Street Fraserburg 6960,Magistrate Court,Yes,-31.91361; 21.5125,No,Fraserburg,Northern Cape,No,Yes,,023 741 1049,023 741 1008
Next to Bolobedu Police Station Ga-Kgapane 0838,Magistrate Court,Yes,-23.64425; 30.22234,No,Ga-Kgapane,Limpopo,No,Yes,,015 328 3002,015 328 3002/ 3768/ 3814
SAPS Maleboho Eldorado village RADITSHABA 0718,Periodical Court,No,-22.98094; 28.93737,No,Ga-Maleboho,Limpopo,No,No,,015 505 3153,015 505 3151/ 52
Next to Police Station,Periodical Court,No,-23.67473; 29.0319,No,Ga-Matlala,Limpopo,No,No,,015 223 5101,015 223 5112/ 6087/ 6335
c/o Llewellyn & Bronwyn Street Kriel 2271,Magistrate Court,Yes,-26.25121; 29.25995,No,Ga-Nala,Mpumalanga,No,Yes,,017 648 3532,017 648 2196/7
8835 Ntlatsang Street Zone 5 Ga-Rankuwa 0208,Detached Court,Yes,-26.60997; 24.17689,Yes,Ga-Rankuwa,North West,No,Yes,,012 703 2223/3189,012 700 8200
See Kimberley,Branch Court,No,-28.7155; 24.7234,No,Galeshewe Community Court,Northern Cape,Yes,Yes,,See Kimberley,See Kimberley
Next to Post Office Main Road Ganyesa 8613,Magistrate Court,Yes,-25.59571; 28.00104,No,Ganyesa,North West,No,Yes,,053 998 3302,053 998 8100
Jan Groeintjie Street,Periodical Court,No, 25.49165;  -30.59144,No,Gariepdam,Free State,No,Yes (Sessions Only),,051 773 0028,051 773 0002
20 Hoof Street Garies,Periodical Court,No,-30.5595; 17.9898,No,Garies,Northern Cape,No,Yes (Sessions Only),,027 652 1123,027 652 1013
C/O Regional Road and Voisin Street,Branch Court,No,-33.90995 25.54972,No,Gelvandale,Eastern Cape,No,No,,,See Port Elizabeth
n/a,Periodical Court,No, 19.5394;  -34.0655,No,Genadendal,Western Cape,No,No,,028 214 1630,028 212 1076
c/o 130 York & Courtney Street George 6530,Magistrate Court,Yes, 22.45979;  -33.95591,No,George,Western Cape,No,Yes,,044 802 5861,044 802 5800
78B President Street Germiston 1401,Detached Court,Yes,-26.214949; 28.162895,Yes,Germiston,Gauteng,No,Yes,,011 825 4606,011 873 0500
Hardach  Street Germiston 1401,Detached Court,No,-26.205667; 28.159614,No,Germiston Hardach Street,Gauteng,No,No,,011 873 5497,011 873 0195/ 8685 / 8697
Next to N11,Periodical Court,No,-23.48723; 28.65612,No,Gilead,Limpopo,No,No,,015 483 0302 Tel/Fax,015 483 0302/3
Foxon Str Gingindlovu,Periodical Court,No,-29.02721 31.58155,No,Gingindlovu,KwaZulu-Natal,No,No,,035 340 1253,035 340 1415
Stand 67 Unit BA Main Road Next to Hospital Giyani 0826,Magistrate Court,Yes,-23.31234; 30.69439,Yes,Giyani,Limpopo,No,Yes,,015 812 0423,015 812 3276/ 0420/ 0421
