"",,,,,,,,,,,,"7352 Reygersdal Street, Wesfleur",
Gauteng,Tshwane Central [Atteridgeville] Detached Court,,Atteridgeville,,,No,Yes,,,012 373 1140 012 373 1137,,"Private Bag X1, 1 Hlahla Street, Atteridgeville",‐25.77375; 28.0718
"",,,,,,,,,,,,Atteridgeville 0008 0008,
Northern Cape,ZF Mgcawu [Kakamas] Periodical Cour,,Augrabies,,,No,No,,,See Kakamas,,,
KwaZulu‐Natal,Magistrate Court,,Babanango,,,Yes,Yes,,,035 835 0044 035 835 0007,,"Private Bag X1, Babanango Lot 59, c/o Justice & Main",E 31.08322; S ‐28.37697
"",,,,,,,,,,,,3850 Street Babanango 3850,
Eastern Cape,Periodical Cour,,Balfour [EC],,,No,No,,,See Seymour,,,E 26.67652; S ‐32.53637
Mpumalanga,Dipaleseng [Balfour] Magistrate Court,,Balfour [MP],,,Yes,Yes,,,017 773 0157 017 773 1127,,"Private Bag X1001, Balfour c/o Themba Shozi & Frank",‐26.66341; 28.58758
"",,,,,,,,,,,,2410 Street Balfour 2410,
Limpopo,Makhado [Louis Trichardt] Periodical Court,,Bandelierkop,,,No,No,,,015 516 015 516 0044,,"Private Bag X2403, Louis SAPS Bandelierkop",‐23.3178; 29.80374
"",,,,,,,,,,0181/2/3,,Trichardt 0920,
Mpumalanga,Umjindi [Barberton] Magistrate Court,,Barberton,,,Yes,Yes,,,013 712 2104/ 013 712 5122,,"Private Bag X1614, President Plein, De Villiers",
"",,,,,,,,,,3284/ 3267,,"Barberton  1300 Street, Barberton 1300. Next to ‐25.78954; 31.05255",
"",,,,,,,,,,,,the Municipality Building.,
Eastern Cape,Magistrate Court,,Barkly East,,,Yes,Yes,,,045 971 0013 045 971 0585,,"Private Bag x 1, Barkley Graskop Main Road,",E 27.59273; S ‐30.96776
"",,,,,,,,,,,,9786 Bushbuckridge 1280,
Northern Cape,Frances Baard [Barkly West] Magistrate Court,,Barkly West,,,Yes,Yes Yes,,,053 531 0621/23 053 531 0812,,"Private Bag X1, Barkly 9 Transvaal Road, Barkly West, ‐28.53662; 24.52611",
"",,,,,,,,,,,,"West, 8375 8375",
Western Cape,Periodical Court,,Barrydale,,,No,No,,,028 514 1109/ 028 514 2342,,"Private Bag X4, Swellendam 6 Bain Street, Barrydale",E 20.72136; S ‐33.90294
Free State,Branch Court,,Batho,,,No,No,,,051 4/32 4728 / 051 432 9285,,"Private Bag X20583, Cnr Forthar & Lovedale Road,",E 26.22632; S ‐29.13556
"",,,,,,,,,,4729 / 506 1111,,"Bloemfontein 9300 Batho, 9323",
Western Cape,Magistrate Court,,Beaufort West,,,Yes,Yes,,,023 415 1787 023 414 4658,,"Private Bag X545, Beaufort c/o Church & Bird Street,",E 22.58442; S ‐32.35008
"",,,,,,,,,,,,West 6970 Beaufort West 6970,
Eastern Cape,Magistrate Court,,Bedford,,,Yes,Yes,,,046 865 0020 046 685 0476,,"Private Bag x 333, Bedford Andreu Tupin Street, Bedford",E 26.08796; S ‐32.67953
"",,,,,,,,,,,,5780 5780,
Limpopo,Bela‐Bela [Bela‐Bela] Magistrate Court,,Bela‐Bela,Warmbaths,,Yes,Yes,,,014 736 2231 014 736 5210/,,"Private Bag X1617, Bela‐ 22 Moffat (c/o Moffat &",‐24.88281; 28.29105
"",,,,,,,,,,0865075648,,"Bela 0480 Pretoria) Street, Bela‐Bela 0480",
Western Cape,Magistrate Court,,Bellville,,,Yes,Yes,,,021 950 021 945 2255/ 949,,"Private Bag X10, Bellville c/o Voortrekker Road &",E 18.62185; S ‐33.90249
"",,,,,,,,,,7700/7820 6514,,"7535 Landdros Street, Bellville 7535",
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC,SOC,MDS,Tel,Fax Postal,Physical,GPS [S;E]
Gauteng,Ekurhuleni South East [Benoni],Magistrate Court,Benoni,,,Yes,Yes,,Yes,011 746 7600/1,"011 421 7213 Private Bag X013, Benoni","69 Harpur Street, Benoni, 1500 ‐26.19365; 28.32041",
"",,,,,,,,,,,1500,,
KwaZulu‐Natal,,Magistrate Court,Bergville,,,Yes,Yes,,,036 448 1015/6,"036 448 1366 Private Bag X1636, Bergville Sharrat Street, Bergville 3350",,E 29.35448; S ‐28.73194
"",,,,,,,,,,,3350,,
Mpumalanga,Govan Mbeki [Bethal],Magistrate Court,Bethal,,,Yes,Yes,,,017 647 6511,"017 647 3720 Private Bag X1008, Bethal","60 Chris Hani  [Mark] Street,",‐26.45553; 29.46524
"",,,,,,,,,,,2310,Bethal 2310,
North West,Madibeng [Brits],Periodical Court,Bethanie,,,No,No,,,012 700 8255,"012 703 2223/3189 Private Bag X1002, Ga‐","Tribal Street, Moseja Section",‐25.55169; 27.60138
"",,,,,,,,,,,Rankuwa 0208,,
Free State,,Magistrate Court,Bethlehem,,,Yes,Yes,Yes,,058 303 5386,"058 303 1541 Private Bag X27,","c/o Oxford & Grey Street,",E 28.30458; S ‐28.22987
"",,,,,,,,,,,"Bethlehem, 9700","Bethlehem, 9700",
Free State,,Magistrate Court,Bethulie,,,Yes,Yes,,,051 763 0005,"051 763 0524 Private Bag X4, Bethulie,","16 Joubert Street, Bethulie,",E 25.97268; S ‐30.49535
"",,,,,,,,,,,9992,9992,
Eastern Cape,,Periodical Court,Bholothwa,Bolotwa,,No,No,,,See Lady Frere,,,E 27.20082; S ‐31.98586
North West Ditsobotla [Lichtenburg] Periodical Court,,Biesiesvlei,No,No,,,018 632 7900 018 632 3619,,"Private Bag X12026,","c/o N14 and R52, Biesiesvlei ‐26.37827; 25.9035"
"",,,,,,,,,Lichtenburg 2740,
Western Cape Branch Court,,Bishop Lavis,No,No,,,021 934 021 934 1072,,"Private Bag X4, Goodwood",c/o Myrtle Road & Valhalla E 18.56676; S ‐33.94619
"",,,,,,,1021/1664/1379,,7459,"Avenue, Bishop Lavis 7490"
Eastern Cape Periodical Cour,,Bityi,No,No,,,See Mthatha,,,n/a E 28.53489; S ‐31.80992
Eastern Cape Magistrate Court,,Bizana,Yes,Yes,,,071 4640 401/ 039 251 0211 /,,"Private Bag x 507, Bizana","Erf 104 Main Street (R61), E 29.85551; S ‐30.85565"
"",,,,,,,082 324 1283/ 0534,,4800,Bizana 4800
"",,,,,,,039 251 0210,,,
Free State Magistrate Court,,Bloemfontein,Yes,Yes Yes,,,051 506 1111 051 447 6854,,"Private Bag X20583,",c/o St George’s & President E 26.2165; S ‐29.12004
"",,,,,,,,,"Bloemfontein, 9300","Brand Street, Bloemfontein"
"",,,,,,,,,,9301
North West Lekwa‐Teemane [Bloemhof] Magistrate Court,,Bloemhof,Yes,Yes,,Yes,053 433 1035 053 433 2220,,"Private Bag X1, Bloemhof","38 Kerk Street, Bloemhof 2660 ‐27.6497; 25.60204"
"",,,,,,,,,2660,
Western Cape Branch Court,,Bluedowns,No,No,,,021 909 9000 021 909 9072,,"Private Bag X1, Kuils River","Eerste Rivier Street, Bluedowns E 18.68644; S ‐33.97949"
"",,,,,,,,,7579,7100
Eastern Cape Periodical Court,,Boesmansriviermond,No,No,,,See Alexandria,,,
Gauteng Ekurhuleni North [Bokburg] Detached Court,,Boksburg,Yes,Yes,,,011 917 9620‐6 / 011 917 1177,,"Private Bag X21, Boksburg","Cnr Trichardt & Adderley Str, ‐26.22538; 28.25227"
"",,,,,,,9153‐8,,1460,Boksburg 1460
Western Cape Periodical Court,,Bonnievale,No,Yes (Sessions Only),,,023 616 2150 023 616 2371,,"Private Bag X1, Bonnievale","2 Coetzee Street, Bonnievale E 20.10088; S ‐33.93929"
"",,,,,,,,,6730,6730
North West Kgetlengrivier [Koster] Periodical Court,,Boons,No,No,,,014 543 014 543 4880,,"Private Bag X22, Koster","JQ381 Elandsfontein, Boons ‐25.96677; 27.23693"
"",,,,,,,2024/2357,,0348,
Gauteng Johannesburg Central [Johannesburg]Branch Court,,Booysens,No,No,,,011 491 5115 011 433 5297,,"Private Bag X1,","426 Booysens Road, Booysens ‐26.233462; 28.021827"
"",,,,,,,,,Johannesburg 2000,2016
Mpumalanga Nkomazi [Tonga] Branch Court,,Boschfontein,Bosfontein/ Boschfontei No,No Yes,,,013 780 3312 013 780 0747,,"Private Bag X4010,","Near Schoemansdal  SAPS, Cnr"
"",,,,,,,/3153,,Kwalugedlane 1341,Schoemansdale and ‐25.71414; 31.6118
"",,,,,,,,,,Boschfontein Road
North West Periodical Court,,Boshoek,Boshveld No,No,,,053 928 4209 053 927 2309,,"Private Bag X06, Vryburg","Cnr Market & De Kock Street, ‐26.95809; 24.727233"
8601Free State Magistrate Court,,Boshof,Yes,Yes,,,053 541 0017 053 541 0534,,"8600 Private Bag X01, Boshof","V 4 Van Zyl Street, Boshof 8340 b E 25.23639; S ‐28.53925"
"",,,,,,,,,8340,
Free State Magistrate Court,,Bothaville,Yes,Yes,,,056 515 2031 056 515 3175,,"Private Bag X1, Bothaville","31 President Avenue, E 26.61618; S ‐27.39389"
"",,,,,,,,,9660,Bothaville 9660
Northern Cape John Taolo Gaetsewe [Kudumane] Periodical Court,,Bothithong,No,No,,,"053 773 1868/ 053 773 1502/1156 Private Bag X102,",,,n/a
"",,,,,,,1869/ 1307/,,Mothibistad 8474,‐27.06505; 23.82835
"",,,,,,,1550,,,
Free State Magistrate Court,,Botshabelo,Yes,Yes Yes,,,051 534 1078 051 534 1416,,"Private Bag X519,","c/o Hospital & Stand Street, E 26.71375; S ‐29.23168"
"",,,,,,,,,Botshabelo 9781,Botshabelo 9781
Gauteng Ekurhuleni South East [Brakpan] Detached Court,,Brakpan,Yes,Yes,,,011 746 8300/8 011 746 8369,,"Private Bag X8, Brakpan",Prince George & Kritzinger ‐26.23825; 28.36591
"",,,,,,,,,1540,"Street, Brakpan 1541"
Free State Magistrate Court,,Brandfort,Yes,Yes,,,051 821 2211 051 821 1602,,"Private Bag X10, Brandfort","69 Voortrekker Street, E 26.45932; S ‐28.70282"
"",,,,,,,/1004,,9400,Brandfort 9400
Northern Cape Namakwa [Calvinia] Periodical Court,,Brandvlei,No,Yes (Sessions Only),,,027 341 1017/ 027 341 1483,,"Private Bag X29, Calvinia,","69 Hoof Street, Brandvlei"
"",,,,,,,,,,‐30.46395; 20.48972
"",,,,,,,2920,,8190,
North West Kagisano Molopo [Ganyesa] Periodical Court,,Bray,No,No,,,053 928 4209 053 927 2309,,"Private Bag X06, Vryburg","Paddon Road, Bray ‐25.4577; 23.71557"
"",,,,,,,,,8600,
Western Cape Magistrate Court,,Bredasdorp,Yes,Yes,,,028 424 1139 028 424 1904,,"Private Bag X13, Bredasdorp 22 Long Street, Bredasdorp",E 20.03966; S ‐34.53231
"",,,,,,,,,7280,7280
Mpumalanga Msukaligwa [Breyten] Branch Court,,Breyten,No,Yes (Sessions Only),,,017 861 3026 017 861 3561,,"Private Bag X1001, Breyten 305 Breytenbach Street,",‐26.30286; 29.98789
"",,,,,,,,,2330,Breyten 2330
North West Madibeng [Brits] Magistrate Court,,Brits,Yes,Yes Yes,,Yes,012 252 3416 / 012 252 3223,,"Private Bag X5002, Brits","Cnr Van Velden & Court Street, ‐25.63501; 27.77902"
"",,,,,,,0676,,0250,Brits 0250
Northern Cape Pixley Ka Seme [Britstown] Magistrate Court,,Britstown,Yes,Yes,,,053 672 0012 053 672 0464,,"Private Bag X4, Britstown,","22 Long Street, Britstown 8782 ‐30.58919; 23.50358"
"",,,,,,,,,8782,
Region,MagDistrict CourtType,,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC,SOC,MDS,Tel Fax,,Postal Physical,GPS [S;E]
Gauteng,Johannesburg Central [Johannesburg]Branch Court,,Brixton,,,No,No,,,011 839 2768 011 837 6349,,"Private Bag X1, Cnr High & Mercury Street,",‐26.19322; 27.99333
"",,,,,,,,,,,,Johannesburg 2000 Brixton 2019,
Gauteng,Tshwane East [Bronkhorstspruit] Detached Court,,Bronkhorstspruit,,,Yes,Yes,,,013 932 2901‐3 013 932 2880,,"Private Bag X563, 38 Kruger Street,",‐25.80778; 28.74458
"",,,,,,,,,,,,Bronkhorstspruit 1020 Bronkhorstspruit 1020,
North West,Tlokwe  [Potchefstroom] Periodical Court,,Buffelshoek,,,,,,,See Potchefstroom,,Potchefstroom Parys Main,‐26.80362; 27.39961
"",,,,,,,,,,,,"Road, Buffelshoek",
Limpopo,Lephalale [Lephalale] Periodical Court,,Bulgerivier,,,No,No,,,014 763 2178 014 763 3840,,"Private Bag X1011, Near SAPS Bulgerivier",‐24.12652; 27.69397
"",,,,,,,,,,,,Modimolle 0510,
Free State,Magistrate Court,,Bultfontein,,,Yes,Yes,,,051 853 1126 051 853 1851,,"Private Bag X1, Bultfontein 5 McCullem Street, Bultfontein E 26.1533; S ‐28.2902",
"",,,,,,,,,,/1119,,9670 9670,
Eastern Cape,Magistrate Court,,Burgersdorp,,,Yes,Yes,,,051 653 1833 051 653 1129,,"Private Bag x 8, Burgersdorp Church Street , Burgersdorp",E 26.33138; S ‐30.99471
"",,,,,,,,,,,,9744 9744,
Limpopo,Tubatse [Burgersfort] Branch Court,,Burgersfort,,,No,No,,Yes,013 235 013 235 3411,,"Private Bag X1085, 7 Justice Street, Burgersfort",‐24.67995; 30.3297
"",,,,,,,,,,2325/6/7,,Mashishing 1120,
Mpumalanga,Bushbuckridge [Bushbuckridge] Magistrate Court,,Bushbuckridge,,Mapulaneng,Yes,Yes,,,013 799 0211/ 013 799 0407,,"Private Bag X9303, R533, Near SAPS, Graskop",
"",,,,,,,,,,12,,"Bushbuckridge 1280 Road, Bushbuckridge 1280",‐24.83612; 31.06877
Eastern Cape,,Magistrate Court,Butterworth,,,Yes,Yes,Yes,047 491 3271,047 491 0904,"Private Bag x 3017, 52 Blyth Street, Butterworth",E 28.14535; S ‐32.33078
"",,,,,,,,,,,Butterworth 4960 4960,
Eastern Cape,,Magistrate Court,Cala,,Xalanga,Yes,Yes,,047 877 0135,047 877 0093,"Private Bag x 501, Cala 5455 Umtata Road 472, Cala 5455",E 27.69699; S ‐31.52432
Western Cape,,Magistrate Court,Caledon,,,Yes,Yes,,028 212 1076,028 214 1630,"Private Bag X1, Caledon 28 Church Street, Caledon 7230E 19.42972; S ‐34.23221",
"",,,,,,,,,,,7230,
Western Cape,,Magistrate Court,Calitzdorp,,,Yes,Yes,,044 213 3309,044 213 3013,"Private Bag X01, Calitzdorp 13 Queen Street, Calitzdorp",E 21.68649; S ‐33.5337
"",,,,,,,,,,,6660 6660,
Northern Cape,Namakwa [Calvinia],Magistrate Court,Calvinia,,,Yes,Yes,,027 341 1017,027 341 1483,"Private Bag X29, Calvinia, 26 Stigling Street, Calvinia,",‐31.47384; 19.77341
"",,,,,,,,,,,8190 8190,
KwaZulu‐Natal,,Magistrate Court,Camperdown,,,Yes,Yes,,031 785,031 785 1652,"Private Bag X01, 10 Bishop Street, Camperdown E 30.54196; S ‐29.72945",
"",,,,,,,,,1155/6/7,,Camperdown 3720 3720,
Western Cape,,Magistrate Court,Cape Town,,,Yes,Yes,Yes,021 401 1511,021 461 1948,"Private Bag X9017, Cape c/o Caledon & Parade Street,",E 18.42324; S ‐33.92683
"",,,,,,,,,,,Town 8000 Cape Town 8001,
Western Cape,,Branch Court,Cape Town Community Court,,,No,No,,021 401 1544/,021 461 1948,"Private Bag X9017, Cape 17 Norlen House, Cape Town",E 18.424; S ‐33.92702
"",,,,,,,,,1547,,Town 8000,
Northern Cape,Pixley Ka Seme [Carnavon],Magistrate Court,Carnarvon,,,Yes,Yes,,053 382 3001,053 382 3725,"Private Bag X201, 9 Hanau Street, Carnarvon,",‐30.96974; 22.12965
Mpumalanga,Chief Albert Luthuli [Carolina],Magistrate Court,Carolina,,,Yes,Yes,,017 843 1033,017 843 2500,"Private Bag X702, Carolina 38 Voortrekker Street, Carolina ‐26.06994; 30.11698",
"",,,,,,,,,,,1185 1185,
Eastern Cape,,Magistrate Court,Cathcart,,,Yes,Yes,,045 843 1027,045 843 1692,"Private Bag x 01, Cathcart Main Street, Cathcart 5310",E 27.14448; S ‐32.29775
"",,,,,,,,,,,5310,
Eastern Cape,,Magistrate Court,Centane,Kentani,,Yes,Yes,,047 498 1033,047 498 1035,"Private Bag x 518, Centane CCSC Building, Bell Street,",E 28.31996; S ‐32.50991
"",,,,,,,,,,,4980 Centane 4980,
Gauteng,Tshwane Central [Pretoria],Periodical Court,Centurion,,Lyttelton,No,No,,012 319 4000,012 328 6546,"Private Bag X61, Pretoria 100 Napier Street, Lyttleton,",‐25.82718; 28.20543
"",,,,,,,,,,,0001 Centurion,
Western Cape,,Magistrate Court,Ceres,,,Yes,Yes,,023 312 1112 /,023 316 1190,"Private Bag X68, Ceres 6835 44 Voortrekker Road, Ceres",E 19.30676; S ‐33.37161
"",,,,,,,,,1188/ 1189/,,6835,
"",,,,,,,,,1067,,,
Mpumalanga,Govan Mbeki [Secunda],Periodical Court,Charl Cilliers,,,,,,017 640 0236,017 634 8540,"Private Bag X1010, 234 Botha Street, Charl Cilliers,",
"",,,,,,,,,,,"Secunda, 2302 2301 [at Police Station ]",‐26.664883; 29.189887
KwaZulu‐Natal,,Periodical Court,Charlestown,,,No,No,,034 312,034 315 1607,"Private Bag X6654, Hollard Street, Charlestown",E 29.87249; S ‐27.41492
"",,,,,,,,,1166/7/8,,Newcastle 2940,
KwaZulu‐Natal,,Magistrate Court,Chatsworth,,,Yes,Yes,,031 403 3227/,031 403 0301,"Private Bag X001, 1 Justice Street, Unit 5,",E 30.88408; S ‐29.91076
"",,,,,,,,,2231/ 3281/,,Chatsworth 4031 Chatsworth 4030,
"",,,,,,,,,3282,,,
Mpumalanga,Msukaligwa [Ermelo],Periodical Court,Chrissies Meer,,,No,No,,017 819 3462/,017 819 2735,"Private Bag X9003, Ermelo 69 Parkwood Street, SAPS",‐26.28052; 30.21357
"",,,,,,,,,63/66,,2350 Chrissies Meer,
North West,Lekwa‐Teemane [Christiana],Detached Court,Christiana,,,Yes,Yes,,053 441 2205,053 441 3958,"Private Bag X501, Christiana 17  Pretorius Street, Christiana ‐27.9104; 25.16982",
"",,,,,,,,,,,2680 2680,
Western Cape,,Periodical Court,Citrusdal,,,No,No,,027 482 2114/5,027 482 2412,"Private Bag X3, Clanwilliam Voortrekker Ave, Citrusdal",E 19.01136; S ‐32.58819
"",,,,,,,,,,,8135,
Western Cape,,Magistrate Court,Clanwilliam,,,Yes,Yes,,027 482 2114/5,027 482 2412,"Private Bag X3, Clanwilliam 4 Hoof Street, Clanwilliam 8135E 18.89238; S ‐32.17091",
"",,,,,,,,,,,8135,
Free State,,Periodical Court,Clarens,,,No,No,,058 303 5386,058 303 1541,"Private Bag X27, Church Street",E 28.41976; S ‐28.51545
"",,,,,,,,,,,"Bethlehem, 9700",
Free State,,Magistrate Court,Clocolan,,,Yes,Yes,,051 943 0409,051 943 0963,"Private Bag X5, Clocolan Dirkie Uys Avenue, Clocolan",E 27.56832; S ‐28.91609
"",,,,,,,,,,,9735 9735,
Eastern Cape,,Magistrate Court,Cofimvaba,,St Marks,Yes,Yes,,047 874 0008,047 874 0555,"Private Bag x 1216, High Street, Confimvaba 5380",E 27.5803; S ‐32.00074
"",,,,,,,,,,,Confimvaba 5455,
KwaZulu‐Natal,,Periodical Court,Colenso,,,No,Yes,,036 422 2203,036 422 2545,"Private Bag X1, Colenso Sir George Street, Colenso",E 29.82326; S ‐28.73448
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax Postal,Physical GPS [S;E]
Northern Cape,Pixley Ka Seme [Colesberg],Magistrate Court,Colesberg,,,Yes,Yes Yes,,,"051 753 8400 051 753 8450 Private Bag X1, Colesberg,","8 Campbell Street, Colesberg, ‐30.71992; 25.09577"
"",,,,,,,,,,9795,9795
North West,Ditsobotla [Coligny],Detached Court,Coligny,,,Yes,Yes,,,"018 673 1053 018 673 1378/1551 Private Bag X1004, Coligny","65 Voortrekker Street, Coligny ‐26.3323; 26.31589"
"",,,,,,,,,,2725,2725
Eastern Cape,,Periodical Court,Cookhouse,,,No,No,,,See Somerset,End Street E 25.80046; S ‐32.74986
"",,,,,,,,,,East,
Free State,,Periodical Court,Cornelia,,,No,No,,,"058 913 1024 058 913 2747 Private Bag X 3, Vrede 9835 7 Ritcherd Street",E 28.85382; S ‐27.23581
Eastern Cape,,Magistrate Court,Cradock,,,Yes,Yes,,,"048 881 1378 048 881 2958 Private Bag x 54, Cradock","50 Market Square, Cradock E 25.61805; S ‐32.16883"
"",,,,,,,,,,5880,5880
Gauteng,Tshwane East [Cullinan],Detached Court,Cullinan,,,Yes,Yes,,,"012 734 1024/25 012 734 1989 Private Bag X1006, Cullinan 2 School Road, Cullinan 1000",‐25.67871; 28.5357
"",,,,,,,,,,1000,
Limpopo,Thabazimbi [Thabazimbi],Periodical Court,Cumberland,,,No,No,,,"014 777 1543 014 772  2523 Private Bag X535,",Farm Station near Cumberland ‐23.97596; 26.9198
"",,,,,,,,,,Thabazimbi 0380,SAPS
Eastern Cape,,Periodical Cour,Dalasile,,,No,No,,,See Ngcobo,n/a E 28.1932; S ‐31.6218
Northern Cape,ZF Mgcawu [Postmasburg],Periodical Court,Danielskuil,,,No,Yes (Sessions Only),,,"053 313 1155 053 313 2580 Private Bag X3032,","4 Park Road, Danielskuil ‐28.1827; 23.54321"
"",,,,,,,,,,"Postmasburg, 8420",
KwaZulu‐Natal,,Magistrate Court,Dannhauser,,,Yes,Yes,,,"034 621 2227 034 621 2986 Private Bag X1013,","6 Church Street, Dannhauser E 30.05774; S ‐28.01311"
"",,,,,,,,,,Dannhauser 3080,3080
Western Cape,,Periodical Court,Darling,,,No,No,,,"022 482 1121/ 022 482 4307 Private Bag X01,","Main Road, Darling E 18.38266; S ‐33.37655"
"",,,,,,,,,,1166/ 1141 Malmesbury 7299,
Mpumalanga,Msukaligwa [Ermelo],Periodical Court,Davel,,,No,No,,,"017 819 3462/ 017 819 2735 Private Bag X9003, Ermelo",Davel SAPS Station ‐26.4479; 29.66766
"",,,,,,,,,,63/66 2350,
Gauteng,Ekurhuleni South East [Daveyton],Detached Court,Daveyton,,,Yes,Yes,,,"011 424 1200 n/a Private Bag X013, Benoni","Embusweni Road, Daveyton ‐26.15317; 28.41495"
"",,,,,,,,,,1500,
Northern Cape,Pixley Ka Seme [De Aar],Magistrate Court,De Aar,,,Yes,Yes Yes,,,"053 631 2184 053 631 1588 Private Bag S1005, De Aar,","43 Voortrekker Street, De Aar, ‐30.65054; 24.01046"
"",,,,,,,,,,7000,7000
Western Cape,,Periodical Court,De Doorns,,,No,No,,,"023 342 2325 023 347 5024 Private Bag X3045,","53 Voortrekker Weg, De E 19.66592; S ‐33.47451"
"",,,,,,,,,,Worcester 6849,Doorns
North West,Madibeng [Ga‐Rankuwa],Periodical Court,De Wildt,,,No,No,,,"012 252 3223 012 252 3223 Private Bag X5002, Brits","Cnr Van Velden & Court Street, ‐25.634779; 27.779294"
"",,,,,,,,,,0250,Brits 0250
Free State,,Periodical Court,Dealesville,,,No,Yes (Sessions Only),,,"051 811 0022 051 811 0204 Private Bag X04, Dealesville 10 School Street, Dealesville",E 25.76341; S ‐28.67555
"",,,,,,,,,,9348,9348
