Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
Easern Cape,Magisrae Cour,Bedford,Yes,Yes,No,No,046 865 0020,046 685 0476,Andreu Tupin Sree Bedford 5780,E 26.08796; S -32.67953
Limpopo,Magisrae Cour,Bela-Bela,Yes,Yes,No,No,014 736 2231,014 736 5210/ 0865075648,22 Moffa (c/o Moffa & Preoria) Sree Bela-Bela 0480,-24.88281; 28.29105
Wesern Cape,Magisrae Cour,Bellville,Yes,Yes,No,No,021 950 7700/7820,021 945 2255/ 949 6514,c/o Voorrekker Road & Landdros Sree Bellville 7535,E 18.62185; S -33.90249
Gaueng,Magisrae Cour,Benoni,Yes,Yes,No,Yes,011 746 7600/1,011 421 7213,69 Harpur Sree Benoni 1500,-26.19365; 28.32041
KwaZulu-Naal,Magisrae Cour,Bergville,Yes,Yes,No,No,036 448 1015/6,036 448 1366,Sharra Sree Bergville 3350,E 29.35448; S -28.73194
Mpumalanga,Magisrae Cour,Behal,Yes,Yes,No,No,017 647 6511,017 647 3720,60 Chris Hani  [Mark Sree Behal 2310,-26.45553; 29.46524
Norh Wes,Periodical Cour,Behanie,No,No,No,No,012 700 8255,012 703 2223/3189,Tribal Sree Moseja Secion,-25.55169; 27.60138
Free Sae,Magisrae Cour,Behlehem,Yes,Yes,Yes,No,058 303 5386,058 303 1541,c/o Oxford & Grey Sree Behlehem 9700,E 28.30458; S -28.22987
Free Sae,Magisrae Cour,Behulie,Yes,Yes,No,No,051 763 0005,051 763 0524,16 Jouber Sree Behulie 9992,E 25.97268; S -30.49535
Easern Cape,Periodical Cour,Bholohwa,No,No,No,No,See Lady Frere,No,No,E 27.20082; S -31.98586
Norh Wes,Periodical Cour,Biesiesvlei,No,No,No,No,018 632 7900,018 632 3619,c/o N14 and R52 Biesiesvlei,-26.37827; 25.9035
Wesern Cape,Branch Cour,Bishop Lavis,No,No,No,No,021 934 1021/1664/1379,021 934 1072,c/o Myrle Road & Valhalla Avenue Bishop Lavis 7490,E 18.56676; S -33.94619
Easern Cape,Periodical Cour,Biyi,No,No,No,No,See Mhaha,No,n/a,E 28.53489; S -31.80992
Easern Cape,Magisrae Cour,Bizana,Yes,Yes,No,No,071 4640 401/ 082 324 1283/ 039 251 0210,039 251 0211 / 0534,Erf 104 Main Sree (R61) Bizana 4800,E 29.85551; S -30.85565
Free Sae,Magisrae Cour,Bloemfonein,Yes,Yes,Yes,No,051 506 1111,051 447 6854,c/o S George’s & Presiden Brand Sree Bloemfonein 9301,E 26.2165; S -29.12004
Norh Wes,Magisrae Cour,Bloemhof,Yes,Yes,No,Yes,053 433 1035,053 433 2220,38 Kerk Sree Bloemhof 2660,-27.6497; 25.60204
Wesern Cape,Branch Cour,Bluedowns,No,No,No,No,021 909 9000,021 909 9072,Eerse Rivier Sree Bluedowns 7100,E 18.68644; S -33.97949
Easern Cape,Periodical Cour,Boesmansriviermond,No,No,No,No,See Alexandria,No,No,No
Gaueng,Deached Cour,Boksburg,Yes,Yes,No,No,011 917 9620-6 / 9153-8,011 917 1177,Cnr Trichard & Adderley Sr Boksburg 1460,-26.22538; 28.25227
Wesern Cape,Periodical Cour,Bonnievale,No,Yes (Sessions Only),No,No,023 616 2150,023 616 2371,2 Coezee Sree Bonnievale 6730,E 20.10088; S -33.93929
Norh Wes,Periodical Cour,Boons,No,No,No,No,014 543 2024/2357,014 543 4880,JQ381 Elandsfonein Boons,-25.96677; 27.23693
Gaueng,Branch Cour,Booysens,No,No,No,No,011 491 5115,011 433 5297,426 Booysens Road Booysens 2016,-26.233462; 28.021827
Mpumalanga,Branch Cour,Boschfonein,No,No,Yes,No,013 780 3312 /3153,013 780 0747,Near Schoemansdal  SAPS Cnr Schoemansdale and Boschfonein Road,-25.71414; 31.6118
Norh Wes,Periodical Cour,Boshoek,No,No,No,No,053 928 4209,053 927 2309,Cnr Marke & De Kock Sree Vryburg 8601,-26.95809; 24.727233
Free Sae,Magisrae Cour,Boshof,Yes,Yes,No,No,053 541 0017,053 541 0534,4 Van Zyl Sree Boshof 8340,E 25.23639; S -28.53925
Free Sae,Magisrae Cour,Bohaville,Yes,Yes,No,No,056 515 2031,056 515 3175,31 Presiden Avenue Bohaville 9660,E 26.61618; S -27.39389
Norhern Cape,Periodical Cour,Bohihong,No,No,No,No,053 773 1868/ 1869/ 1307/ 1550,053 773 1502/1156,n/a,-27.06505; 23.82835
Free Sae,Magisrae Cour,Boshabelo,Yes,Yes,Yes,No,051 534 1078,051 534 1416,c/o Hospial & Sand Sree Boshabelo 9781,E 26.71375; S -29.23168
Gaueng,Deached Cour,Brakpan,Yes,Yes,No,No,011 746 8300/8,011 746 8369,Prince George & Krizinger Sree Brakpan 1541,-26.23825; 28.36591
Free Sae,Magisrae Cour,Brandfor,Yes,Yes,No,No,051 821 2211,051 821 1602 /1004,69 Voorrekker Sree Brandfor 9400,E 26.45932; S -28.70282
Norhern Cape,Periodical Cour,Brandvlei,No,Yes (Sessions Only),No,No,027 341 1017/ 2920,027 341 1483,69 Hoof Sree Brandvlei,-30.46395; 20.48972
Norh Wes,Periodical Cour,Bray,No,No,No,No,053 928 4209,053 927 2309,Paddon Road Bray,-25.4577; 23.71557
Wesern Cape,Magisrae Cour,Bredasdorp,Yes,Yes,No,No,028 424 1139,028 424 1904,22 Long Sree Bredasdorp 7280,E 20.03966; S -34.53231
Mpumalanga,Branch Cour,Breyen,No,Yes (Sessions Only),No,No,017 861 3026,017 861 3561,305 Breyenbach Sree Breyen 2330,-26.30286; 29.98789
Norh Wes,Magisrae Cour,Bris,Yes,Yes,Yes,Yes,012 252 3416 / 0676,012 252 3223,Cnr Van Velden & Cour Sree Bris 0250,-25.63501; 27.77902
Norhern Cape,Magisrae Cour,Brisown,Yes,Yes,No,No,053 672 0012,053 672 0464,22 Long Sree Brisown 8782,-30.58919; 23.50358
Gaueng,Branch Cour,Brixon,No,No,No,No,011 839 2768,011 837 6349,Cnr High & Mercury Sree Brixon 2019,-26.19322; 27.99333
Gaueng,Deached Cour,Bronkhorssprui,Yes,Yes,No,No,013 932 2901-3,013 932 2880,38 Kruger Sree Bronkhorssprui 1020,-25.80778; 28.74458
Norh Wes,Periodical Cour,Buffelshoek,No,No,No,No,See Pochefsroom,No,Pochefsroom Parys Main Road Buffelshoek,-26.80362; 27.39961
Limpopo,Periodical Cour,Bulgerivier,No,No,No,No,014 763 2178,014 763 3840,Near SAPS Bulgerivier,-24.12652; 27.69397
Free Sae,Magisrae Cour,Bulfonein,Yes,Yes,No,No,051 853 1126,051 853 1851 /1119,5 McCullem Sree Bulfonein 9670,E 26.1533; S -28.2902
Easern Cape,Magisrae Cour,Burgersdorp,Yes,Yes,No,No,051 653 1833,051 653 1129,Church Sree  Burgersdorp 9744,E 26.33138; S -30.99471
Limpopo,Branch Cour,Burgersfor,No,No,No,Yes,013 235 2325/6/7,013 235 3411,7 Jusice Sree Burgersfor,-24.67995; 30.3297
Mpumalanga,Magisrae Cour,Bushbuckridge,Yes,Yes,No,No,013 799 0211/ 12,013 799 0407,R533 Near SAPS Graskop Road Bushbuckridge 1280,-24.83612; 31.06877
Easern Cape,Magisrae Cour,Buerworh,Yes,Yes,Yes,No,047 491 3271,047 491 0904,52 Blyh Sree Buerworh 4960,E 28.14535; S -32.33078
Easern Cape,Magisrae Cour,Cala,Yes,Yes,No,No,047 877 0135,047 877 0093,Umaa Road 472 Cala 5455,E 27.69699; S -31.52432
Wesern Cape,Magisrae Cour,Caledon,Yes,Yes,No,No,028 212 1076,028 214 1630,28 Church Sree Caledon 7230,E 19.42972; S -34.23221
Wesern Cape,Magisrae Cour,Calizdorp,Yes,Yes,No,No,044 213 3309,044 213 3013,13 Queen Sree Calizdorp 6660,E 21.68649; S -33.5337
Norhern Cape,Magisrae Cour,Calvinia,Yes,Yes,No,No,027 341 1017,027 341 1483,26 Sigling Sree Calvinia 8190,-31.47384; 19.77341
KwaZulu-Naal,Magisrae Cour,Camperdown,Yes,Yes,No,No,031 785 1155/6/7,031 785 1652,10 Bishop Sree Camperdown 3720,E 30.54196; S -29.72945
Wesern Cape,Magisrae Cour,Cape Town,Yes,Yes,Yes,No,021 401 1511,021 461 1948,Iusiia Building c/o Caledon & Parade Sree Cape Town 8001,E 18.42324; S -33.92683
Wesern Cape,Branch Cour,Cape Town Communiy Cour,No,No,No,No,021 401 1544/ 1547,021 461 1948,17 Norlen House Cape Town,E 18.424; S -33.92702
Norhern Cape,Magisrae Cour,Carnarvon,Yes,Yes,No,No,053 382 3001,053 382 3725,9 Hanau Sree Carnarvon 8925,-30.96974; 22.12965
Mpumalanga,Magisrae Cour,Carolina,Yes,Yes,No,No,017 843 1033,017 843 2500,38 Voorrekker Sree Carolina 1185,-26.06994; 30.11698
Easern Cape,Magisrae Cour,Cahcar,Yes,Yes,No,No,045 843 1027,045 843 1692,Main Sree Cahcar 5310,E 27.14448; S -32.29775
Easern Cape,Magisrae Cour,Cenane,Yes,Yes,No,No,047 498 1033,047 498 1035,CCSC Building Bell Sree Cenane 4980,E 28.31996; S -32.50991
Gaueng,Periodical Cour,Cenurion,No,No,No,No,012 319 4000,012 328 6546,100 Napier Sree Lyleon Cenurion,-25.82718; 28.20543
Wesern Cape,Magisrae Cour,Ceres,Yes,Yes,No,No,023 312 1112 / 1188/ 1189/ 1067,023 316 1190,44 Voorrekker Road Ceres 6835,E 19.30676; S -33.37161
Mpumalanga,Periodical Cour,Charl Cilliers,No,No,No,No,017 640 0236,017 634 8540,234 Boha Sree Charl Cilliers 2301 [a Police Saion,-26.664883; 29.189887
KwaZulu-Naal,Periodical Cour,Charlesown,No,No,No,No,034 312 1166/7/8,034 315 1607,Hollard Sree Charlesown,E 29.87249; S -27.41492
KwaZulu-Naal,Magisrae Cour,Chasworh,Yes,Yes,No,No,031 403 3227/ 2231/ 3281/ 3282,031 403 0301,1 Jusice Sree Uni 5  Chasworh 4030,E 30.88408; S -29.91076
Mpumalanga,Periodical Cour,Chrissies Meer,No,No,No,No,017 819 3462/ 63/66,017 819 2735,69 Parkwood Sree SAPS Chrissies Meer,-26.28052; 30.21357
Norh Wes,Deached Cour,Chrisiana,Yes,Yes,No,No,053 441 2205,053 441 3958,17xa0 Preorius Sree Chrisiana 2680,-27.9104; 25.16982
Wesern Cape,Periodical Cour,Cirusdal,No,No,No,No,027 482 2114/5,027 482 2412,Voorrekker Ave Cirusdal,E 19.01136; S -32.58819
Wesern Cape,Magisrae Cour,Clanwilliam,Yes,Yes,No,No,027 482 2114/5,027 482 2412,4 Hoof Sree Clanwilliam 8135,E 18.89238; S -32.17091
Free Sae,Periodical Cour,Clarens,No,No,No,No,058 303 5386,058 303 1541,Church Sree,E 28.41976; S -28.51545
Free Sae,Magisrae Cour,Clocolan,Yes,Yes,No,No,051 943 0409,051 943 0963,Dirkie Uys Avenue Clocolan 9735,E 27.56832; S -28.91609
Easern Cape,Magisrae Cour,Cofimvaba,Yes,Yes,No,No,047 874 0008,047 874 0555,High Sree Confimvaba 5380,E 27.5803; S -32.00074
KwaZulu-Naal,Periodical Cour,Colenso,No,Yes,No,No,036 422 2203,036 422 2545,Sir George Sree Colenso 3360,E 29.82326; S -28.73448
Norhern Cape,Magisrae Cour,Colesberg,Yes,Yes,Yes,No,051 753 8400,051 753 8450,8 Campbell Sree Colesberg 9795,-30.71992; 25.09577
Norh Wes,Deached Cour,Coligny,Yes,Yes,No,No,018 673 1053,018 673 1378/1551,65 Voorrekker Sree Coligny 2725,-26.3323; 26.31589
Easern Cape,Periodical Cour,Cookhouse,No,No,No,No,See Somerse Eas,No,End Sree,E 25.80046; S -32.74986
Free Sae,Periodical Cour,Cornelia,No,No,No,No,058 913 1024,058 913 2747,7 Richerd Sree,E 28.85382; S -27.23581
Easern Cape,Magisrae Cour,Cradock,Yes,Yes,No,No,048 881 1378,048 881 2958,50 Marke Square Cradock 5880,E 25.61805; S -32.16883
Gaueng,Deached Cour,Cullinan,Yes,Yes,No,No,012 734 1024/25,012 734 1989,2 School Road Cullinan 1000,-25.67871; 28.5357
Limpopo,Periodical Cour,Cumberland,No,No,No,No,014 777 1543,014 772xa0 2523,Farm Saion near Cumberland SAPS,-23.97596; 26.9198
Easern Cape,Periodical Cour,Dalasile,No,No,No,No,See Ngcobo,No,n/a,E 28.1932; S -31.6218
Norhern Cape,Periodical Cour,Danielskuil,No,Yes (Sessions Only),No,No,053 313 1155,053 313 2580,4 Park Road Danielskuil,-28.1827; 23.54321
KwaZulu-Naal,Magisrae Cour,Dannhauser,Yes,Yes,No,No,034 621 2227,034 621 2986,6 Church Sree Dannhauser 3080,E 30.05774; S -28.01311
Wesern Cape,Periodical Cour,Darling,No,No,No,No,022 482 1121/ 1166/ 1141,022 482 4307,Main Road Darling,E 18.38266; S -33.37655
Mpumalanga,Periodical Cour,Davel,No,No,No,No,017 819 3462/ 63/66,017 819 2735,Davel SAPS Saion,-26.4479; 29.66766
Gaueng,Deached Cour,Daveyon,Yes,Yes,No,No,011 424 1200,n/a,Embusweni Road Daveyon,-26.15317; 28.41495
Norhern Cape,Magisrae Cour,De Aar,Yes,Yes,Yes,No,053 631 2184,053 631 1588,43 Voorrekker Sree De Aar 7000,-30.65054; 24.01046
Wesern Cape,Periodical Cour,De Doorns,No,No,No,No,023 342 2325,023 347 5024,53 Voorrekker Weg De Doorns,E 19.66592; S -33.47451
Norh Wes,Periodical Cour,De Wild,No,No,No,No,012 252 3223,012 252 3223,Cnr Van Velden & Cour Sree Bris 0250,-25.634779; 27.779294
Free Sae,Periodical Cour,Dealesville,No,Yes (Sessions Only),No,No,051 811 0022,051 811 0204,10 School Sree Dealesville 9348,E 25.76341; S -28.67555
Norhern Cape,Periodical Cour,Deben,No,No,No,No,053 313 1155,053 313 2580,1 Hoof Sree Dibeng,-27.59847; 22.88326
Norh Wes,Magisrae Cour,Delareyville,Yes,Yes,No,No,053 948 9300,053 948 0904,23 General Delarey Sree Delareyville 2770,-26.68668; 25.4575
Mpumalanga,Magisrae Cour,Delmas,Yes,Yes,No,No,013 665 2081/ 2082/ 2042,013 665 5778,1 Dolomie Sree Delmas 2210,-26.14527; 28.68632
Norhern Cape,Periodical Cour,Delporshoop,No,No,No,No,053 531 0621/23,053 531 0812,4 Schols Sree Delporshoop,-28.41655; 24.30995
Gaueng,Periodical Cour,Devon,No,No,No,No,011 814 8261-3,011 814 5488,c/o Tria & Selbourne Srees Devon,-26.3565; 28.78579
Free Sae,Magisrae Cour,Dewesdorp,Yes,Yes,No,No,051 541 0021,051 541 0754,16 Church sree Dewesdorp 9940,E 26.66253; S -29.58432
Mpumalanga,Branch Cour,Dienjie,No,No,No,No,013 799 0211/0212,013 799 0211/0212,Nex o Police Saion,-24.61497; 30.80556
Easern Cape,Branch Cour,Dimbaza,No,No,No,No,See Zwelisha,No,Nex o SAPS,E 27.20609; S -32.83299
Mpumalanga,Periodical Cour,Dirkiesdorp,No,No,No,No,017 730 0156,017 730 0147,Main Road (R543) SAPS Dirkiesdorp,-27.173453; 30.402433
KwaZulu-Naal,Periodical Cour,Donnybrook,No,No,No,No,039 832 0016/0047,039 832 9461,Old Main Road Donnybrook,E 29.87935; S -29.92981
Easern Cape,Magisrae Cour,Dordrech,Yes,Yes,No,No,045 943 1008,045 943 1661/5,Mark Plein Nr 2 Dordrech 5435,E 27.04856; S -31.3747
Limpopo,Periodical Cour,Dorse,No,No,No,No,014 717 5316,014 717 5369,Off he R33,-24.06071; 28.16088
Norhern Cape,Magisrae Cour,Douglas,Yes,Yes,No,No,053 298 1011,053 298 2809,14 Rhodes Sree Douglas 8730,-29.05633; 23.77443
Wesern Cape,Periodical Cour,Drakensein Prison,No,No,No,No,021 872 3127,021 872 9116,Cnr Marke Sree & Berg Rivier Boulevard Paarl 7622,No
KwaZulu-Naal,Branch Cour,Dududu,No,Yes (Sessions Only),No,No,039 974 0142,039 974 0146,P77 Dududu Main Road Scoburgh 4180,No
KwaZulu-Naal,Branch Cour,Dukuza,No,No,No,No,036 438 6063/4,036 438 6063,Dukuza Township Bergville 3350,E 29.20827; S -28.74964
Mpumalanga,Periodical Cour,Dullsroom,No,No,No,No,013 253 1138/ 1147,013 253 0035,175 Voorrekker Sree Dullsroom,-25.4183; 30.10481
KwaZulu-Naal,Magisrae Cour,Dundee,Yes,Yes,No,No,034 212 1179,034 218 2494,34 Beaconsfield Sree Dundee 3000,E 30.23336; S -28.16163
Gaueng,Periodical Cour,Dunnoar,No,No,No,No,011 814 8261-3,011 814 5488,23 Porer Road Dunnoar,-26.35112; 28.43841
KwaZulu-Naal,Magisrae Cour,Durban,Yes,Yes,Yes,No,031 302 4111,031 332 5006,Cnr Somseu & Sanger Sree Durban 4001,E 31.02868; S -29.84468
Easern Cape,Magisrae Cour,Duywa,Yes,Yes,No,No,047 489 1234,047 489 1449,Nex o Police Saion Iduywa 5000,E 28.30459; S -32.09893
Limpopo,Periodical Cour,Dwaalboom,No,No,No,No,014 777 1543,014 772xa0 2523,SAPS Dwaalboom,-24.72723; 26.80745
Limpopo,Magisrae Cour,Dzanani,Yes,Yes,No,No,015 970 4005,015 970 4332,Makadu Locaion Road D3669 [Hillside Sree Louis Trichard 0920,-22.89556; 30.03808
Limpopo,Periodical Cour,Dzumeri,No,No,No,No,015 812 3275,015 812 0423,Dzumeri Tribal Council,-23.30713; 30.70588
Easern Cape,Magisrae Cour,Eas London,Yes,Yes,Yes,No,043 702 8000,043 743 0840,4 Buffalo Sree Eas London 5200,E 27.90373; S -33.02075
Free Sae,Magisrae Cour,Edenburg,Yes,Yes,No,No,051 743 1102,051 743 1122,21 Van Dyk Sree Edenburg 9908,E 25.93777; S -29.73755
Gaueng,Branch Cour,Edenvale,No,No,No,No,011 453 9996,011 453 9996,Cnr Linksfield & 1s Avenue Edenvale 1609,-26.149515; 28.150312
Free Sae,Periodical Cour,Edenville,No,Yes,No,No,056 631 0014,056 631 0393,1 Jordan Sree Edenville 9535,E 27.67431; S -27.55514
Mpumalanga,Magisrae Cour,Eersehoek,Yes,Yes,Yes,Yes,017 883 0090/ 9802,017 883 0091/1283,Sand No. 9 Police Saion Road Elukwaini 1192,-26.06114; 30.78769
Gaueng,Deached Cour,Ekangala,Yes,Yes,No,Yes,013 934 4249/50,013 930 0238,4995 Secion D Ekangala 1021,-25.691407; 28.742122
KwaZulu-Naal,Branch Cour,Ekuvukeni,No,No,No,No,034 261 1039,034 261 1695,Nex o Ekuvukeni Police Saion Wasbank Ekuvukeni 3381,E 30.15579; S -28.46148
KwaZulu-Naal,Periodical Cour,Elandslaage,No,No,No,No,036 637 6771/2; 637 6763/4,036 631 0498,Old Main Road Elandslaage,E 29.95882; S -28.4012
Limpopo,Magisrae Cour,Elim,Yes,Yes,No,No,015 556 4091/4052,015 556 4110,Near Waerval Police Saion,-23.15916; 30.07591
Easern Cape,Magisrae Cour,Ellio,Yes,Yes,No,No,045 931 1013,045 931 1312,34 Voorrekker Sree Ellio 5460,E 27.85056; S -31.33314
Easern Cape,Magisrae Cour,Elliodale,Yes,Yes,No,No,047 577 0003,047 577 0344,Erf 91 Main Sree Elliodale 5070,E 28.68471; S -31.96836
Mpumalanga,Magisrae Cour,Emgwenya,Yes,Yes,No,No,013 257 0004,013 257 0670,1 Third Avenue Waerval Boven 1195,-25.64478; 30.32519
KwaZulu-Naal,Magisrae Cour,Emlazi,Yes,Yes,Yes,No,031 907 3955/ 1670,031 907 1480,V 1318 Mangosuhu High Way Umlazi 4066,E 30.92513; S -29.96176
KwaZulu-Naal,Magisrae Cour,Empangeni,Yes,Yes,No,No,035 772 1711/2/3,035 792 2527,6 Union Sree Empangeni 3880,E 31.89248; S -28.74345
Mpumalanga,Magisrae Cour,Ermelo,Yes,Yes,No,No,017 819 3462/ 63/66,017 819 2735,17 Jan van Riebeeck Sree Ermelo 2350,-26.52318; 29.98344
KwaZulu-Naal,Magisrae Cour,Eshowe,Yes,Yes,No,No,035 474 1127/8,035 474 4367,c/o Main & William Chadwick Srees Eshowe 3815,E 31.45578; S -28.90295
KwaZulu-Naal,Branch Cour,Esikhawini,No,No,No,No,035 796 0122,035 796 2074,H11 Ilanda Sree Esikhawini 3887,No
KwaZulu-Naal,Magisrae Cour,Escour,Yes,Yes,No,No,036 352 3030/3032,036 352 1270,172 Alber Sree Escour 3310,E 29.87265; S -29.00583
Mpumalanga,Magisrae Cour,Evander,Yes,Yes,No,Yes,017 632 2204,017 632 2835,Cnr Solly Zwane S & Bologna Sree Evander 2280,-26.46967; 29.10738
Free Sae,Magisrae Cour,Excelsior,Yes,Yes,No,No,051 973 0017,051 973 0518,Commission Sree Excelsior 9760,E 27.06033; S -28.93859
KwaZulu-Naal,Deached Cour,Ezakheni,No,Yes,No,No,036 636 1312/3,036 636 2286,797 Ingonyama Sree Opposie SAPS Ezakheni 3381,E 29.92848; S -28.59661
Easern Cape,Branch Cour,Ezibeleni,No,No,No,No,047 873 1065,047 873 2239,Nlabahi Sree Ezibeleni 5326,E 26.95343; S -31.91099
Mpumalanga,Magisrae Cour,eMakhazeni,Yes,Yes,No,No,013 253 1138/ 1147,013 253 0035,100 Van Riebeeck Sree Belfas 1100,-25.69342; 30.03615
Mpumalanga,Magisrae Cour,eMalahleni,Yes,Yes,No,No,013 656 2221/ 2222/ 2223/ 2240/ 2249,013 656 5023,14 Delville Sree eMalahleni 1035,-25.8761; 29.2126
Mpumalanga,Periodical Cour,eManzana,No,No,No,No,017 843 1033,017 843 2500,SAPS Roberson Sree Badplaas,-25.95844; 30.56844
Mpumalanga,Magisrae Cour,eMkhondo,Yes,Yes,No,No,017 826 2085,017 826 2085 Tel/Fax,23 Church Sree Pie Reief 2380,-27.00406; 30.80305
Mpumalanga,Periodical Cour,eNokozweni,No,No,No,No,013 253 1138/ 1147,013 253 0035,8 Plein Sree Machadodorp,-25.66838; 30.25337
Free Sae,Magisrae Cour,Fauresmih,Yes,Yes,No,No,051 723 0002,051 723 0103,52 Voorrekker Sree Fauresmih 9978,E 25.31177; S -29.74652
Free Sae,Magisrae Cour,Ficksburg,Yes,Yes,No,No,051 933 2201,051 933 4479,16 Voorrekker Sree Ficksburg 9730,E 27.87423; S -28.87131
Easern Cape,Magisrae Cour,Flagsaff,Yes,Yes,No,No,039 252 0127/ 0188,039 252 0182,Main Sree (R61) Flagsaff 4810,E 29.5007; S -31.08061
Gaueng,Deached Cour,Fochville,No,Yes,No,No,018 771 2017,018 771 4188,Cnr Losberg Avenue & 9h Sr Fochville 2515,-26.49291; 27.49447
Wesern Cape,Periodical Cour,Formosa,No,No,No,No,044 382 1141/ 2/3,044 382 2708,c/o Jackson & Main Pleenberg Bay,E 23.37173; S -34.05771
