Region	District	court_type	office_name	equality_court	small_claims_court	sexual_offense_court	telephone	fax	Address	GPS
 ' Eastern Cape']	 'Barkly East']	 'Magistrate Court']	" <span class=""officenamecolor"">Barkly East</span>]"	 'Yes ']	 'Yes']		 '045 971 0013']	 '045 971 0585']	 'Graskop Main Road, Bushbuckridge 1280\t']	 'E 27.59273; S -30.96776\t']
 ' Northern Cape']	 'Barkly West']	 'Magistrate Court']	" <span class=""officenamecolor"">Barkly West</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '053 531 0621/23']	 '053 531 0812']	 '9 Transvaal Road, Barkly West, 8375\t']	 '-28.53662; 24.52611\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Barrydale</span>]"	 'No ']	 'No']		 '028 514 1109/ 1160/ 1223']	 '028 514 2342']	 '6 Bain Street, Barrydale\t']	 'E 20.72136; S -33.90294\t']
 ' Free State']		 'Branch Court']	" <span class=""officenamecolor"">Batho</span>]"	 'No ']	 'No']		 '051 432 4728 / 4729 / 506 1111']	 '051 432 9285']	 'Cnr Forthar & Lovedale Road, Batho, 9323\t']	 'E 26.22632; S -29.13556\t']
 ' Western Cape']	 'Beaufort West']	 'Magistrate Court']	" <span class=""officenamecolor"">Beaufort West</span>]"	 'Yes ']	 'Yes']		 '023 415 1787']	 '023 414 4658']	 'c/o Church & Bird Street, Beaufort West 6970\t']	 'E 22.58442; S -32.35008\t']
 ' Eastern Cape']	 'Bedford']	 'Magistrate Court']	" <span class=""officenamecolor"">Bedford</span>]"	 'Yes ']	 'Yes']		 '046 865 0020']	 '046 685 0476']	 'Andreu Tupin Street, Bedford 5780\t']	 'E 26.08796; S -32.67953\t']
 ' Limpopo']	 'Warmbaths']	 'Magistrate Court']	" <span class=""officenamecolor"">Bela-Bela</span>]"	 'Yes ']	 'Yes']		 '014 736 2231']	 '014 736 5210/ 0865075648']	 '22 Moffat (c/o Moffat & Pretoria) Street, Bela-Bela 0480\t']	 '-24.88281; 28.29105\t']
 ' Western Cape']	 'Bellville']	 'Magistrate Court']	" <span class=""officenamecolor"">Bellville</span>]"	 'Yes ']	 'Yes']		 '021 950 7700/7820']	 '021 945 2255/ 949 6514']	 'c/o Voortrekker Road & Landdros Street, Bellville 7535\t']	 'E 18.62185; S -33.90249\t']
 ' Gauteng']	 'Benoni']	 'Magistrate Court']	" <span class=""officenamecolor"">Benoni</span>]"	 'Yes ']	 'Yes']		 '011 746 7600/1']	 '011 421 7213']	 '69 Harpur Street, Benoni, 1500\t']	 '-26.19365; 28.32041\t']
 ' KwaZulu-Natal']	 'Bergville']	 'Magistrate Court']	" <span class=""officenamecolor"">Bergville</span>]"	 'Yes ']	 'Yes']		 '036 448 1015/6']	 '036 448 1366']	 'Sharrat Street, Bergville 3350\t']	 'E 29.35448; S -28.73194\t']
 ' Mpumalanga']	 'Bethal, Kriel']	 'Magistrate Court']	" <span class=""officenamecolor"">Bethal</span>]"	 'Yes ']	 'Yes']		 '017 647 6511']	 '017 647 3720']	 '60 Chris Hani  [Mark] Street, Bethal 2310\t']	 '-26.45553; 29.46524\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Bethanie</span>]"	 'No ']	 'No']		 '012 700 8255']	 '012 703 2223/3189']	 'Tribal Street, Moseja Section\t']	 '-25.55169; 27.60138\t']
 ' Free State']	 'Betlehem']	 'Magistrate Court']	" <span class=""officenamecolor"">Bethlehem</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '058 303 5386']	 '058 303 1541']	 'c/o Oxford & Grey Street, Bethlehem, 9700\t']	 'E 28.30458; S -28.22987\t']
 ' Free State']	 'Bethulie']	 'Magistrate Court']	" <span class=""officenamecolor"">Bethulie</span>]"	 'Yes ']	 'Yes']		 '051 763 0005']	 '051 763 0524']	 '16 Joubert Street, Bethulie, 9992\t']	 'E 25.97268; S -30.49535\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Bholothwa</span>]"	 'No ']	 'No']		 'See Lady Frere']		 ' ']	 'E 27.20082; S -31.98586\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Biesiesvlei</span>]"	 'No ']	 'No']		 '018 632 7900']	 '018 632 3619']	 'c/o N14 and R52, Biesiesvlei\t']	 '-26.37827; 25.9035\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Bishop Lavis</span>]"	 'No ']	 'No']		 '021 934 1021/1664/1379']	 '021 934 1072']	 'c/o Myrtle Road & Valhalla Avenue, Bishop Lavis 7490\t']	 'E 18.56676; S -33.94619\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Bityi</span>]"	 'No ']	 'No']		 'See Mthatha']		 'n/a\t']	 'E 28.53489; S -31.80992\t']
 ' Eastern Cape']	 'Bizana']	 'Magistrate Court']	" <span class=""officenamecolor"">Bizana</span>]"	 'Yes ']	 'Yes']		 '071 4640 401/ 082 324 1283/ 039 251 0210']	 '039 251 0211 / 0534']	 'Erf 104 Main Street (R61), Bizana 4800\t']	 'E 29.85551; S -30.85565\t']
 ' Free State']	 'Bloemfontein']	 'Magistrate Court']	" <span class=""officenamecolor"">Bloemfontein</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '051 506 1111']	 '051 447 6854']	 'c/o St George’s & President Brand Street, Bloemfontein 9301\t']	 'E 26.2165; S -29.12004\t']
 ' North West']	 'Lekwa-Teemane']	 'Magistrate Court']	" <span class=""officenamecolor"">Bloemhof</span>]"	 'Yes ']	 'Yes']		 '053 433 1035']	 '053 433 2220']	 '38 Kerk Street, Bloemhof 2660\t']	 '-27.6497; 25.60204\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Bluedowns</span>]"	 'No ']	 'No']		 '021 909 9000']	 '021 909 9072']	 'Eerste Rivier Street, Bluedowns 7100\t']	 'E 18.68644; S -33.97949\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Boesmansriviermond</span>]"	 'No ']	 'No']		 'See Alexandria']		 ' ']	 ' ']
 ' Gauteng']	 'Boksburg']	 'Detached Court']	" <span class=""officenamecolor"">Boksburg</span>]"	 'Yes ']	 'Yes']		 '011 917 9620-6 / 9153-8']	 '011 917 1177']	 'Cnr Trichardt & Adderley Str, Boksburg 1460\t']	 '-26.22538; 28.25227\t']
 ' Western Cape']	 'Swellendam, Montagu, Robertson']	 'Periodical Court']	" <span class=""officenamecolor"">Bonnievale</span>]"	 'No ']	 'Yes (Sessions Only)']		 '023 616 2150']	 '023 616 2371']	 '2 Coetzee Street, Bonnievale 6730\t']	 'E 20.10088; S -33.93929\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Boons</span>]"	 'No ']	 'No']		 '014 543 2024/2357']	 '014 543 4880']	 'JQ381 Elandsfontein, Boons\t']	 '-25.96677; 27.23693\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Booysens</span>]"	 'No ']	 'No']		 '011 491 5115']	 '011 433 5297']	 '426 Booysens Road, Booysens 2016\t']	 '-26.233462; 28.021827\t']
 ' Mpumalanga']		 'Branch Court']	" <span class=""officenamecolor"">Boschfontein</span>]"	 'No ']	 'No']	 'Yes']	 '013 780 3312 /3153']	 '013 780 0747']	 'Near Schoemansdal  SAPS, Cnr Schoemansdale and Boschfontein Road\t']	 '-25.71414; 31.6118\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Boshoek</span>]"	 'No ']	 'No']		 '053 928 4209']	 '053 927 2309']	 'Cnr Market & De Kock Street, Vryburg 8601\t']	 '-26.95809; 24.727233\t']
 ' Free State']	 'Boshof']	 'Magistrate Court']	" <span class=""officenamecolor"">Boshof</span>]"	 'Yes ']	 'Yes']		 '053 541 0017']	 '053 541 0534']	 '4 Van Zyl Street, Boshof 8340\t']	 'E 25.23639; S -28.53925\t']
 ' Free State']	 'Bothaville']	 'Magistrate Court']	" <span class=""officenamecolor"">Bothaville</span>]"	 'Yes ']	 'Yes']		 '056 515 2031']	 '056 515 3175']	 '31 President Avenue, Bothaville 9660\t']	 'E 26.61618; S -27.39389\t']
 ' Northern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Bothithong</span>]"	 'No ']	 'No']		 '053 773 1868/ 1869/ 1307/ 1550']	 '053 773 1502/1156']	 'n/a\t']	 '-27.06505; 23.82835\t']
 ' Free State']	 'Botshabelo']	 'Magistrate Court']	" <span class=""officenamecolor"">Botshabelo</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '051 534 1078']	 '051 534 1416']	 'c/o Hospital & Stand Street, Botshabelo 9781\t']	 'E 26.71375; S -29.23168\t']
 ' Gauteng']	 'Brakpan']	 'Detached Court']	" <span class=""officenamecolor"">Brakpan</span>]"	 'Yes ']	 'Yes']		 '011 746 8300/8']	 '011 746 8369']	 'Prince George & Kritzinger Street, Brakpan 1541\t']	 '-26.23825; 28.36591\t']
 ' Free State']	 'Brandfort']	 'Magistrate Court']	" <span class=""officenamecolor"">Brandfort</span>]"	 'Yes ']	 'Yes']		 '051 821 2211']	 '051 821 1602 /1004']	 '69 Voortrekker Street, Brandfort 9400\t']	 'E 26.45932; S -28.70282\t']
 ' Northern Cape']	 'Calvinia']	 'Periodical Court']	" <span class=""officenamecolor"">Brandvlei</span>]"	 'No ']	 'Yes (Sessions Only)']		 '027 341 1017/ 2920']	 '027 341 1483']	 '69 Hoof Street, Brandvlei\t']	 '-30.46395; 20.48972\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Bray</span>]"	 'No ']	 'No']		 '053 928 4209']	 '053 927 2309']	 'Paddon Road, Bray\t']	 '-25.4577; 23.71557\t']
 ' Western Cape']	 'Bredasdorp']	 'Magistrate Court']	" <span class=""officenamecolor"">Bredasdorp</span>]"	 'Yes ']	 'Yes']		 '028 424 1139']	 '028 424 1904']	 '22 Long Street, Bredasdorp 7280\t']	 'E 20.03966; S -34.53231\t']
 ' Mpumalanga']	 'Ermelo']	 'Branch Court']	" <span class=""officenamecolor"">Breyten</span>]"	 'No ']	 'Yes (Sessions Only)']		 '017 861 3026']	 '017 861 3561']	 '305 Breytenbach Street, Breyten 2330\t']	 '-26.30286; 29.98789\t']
 ' North West']	 'Madibeng']	 'Magistrate Court']	" <span class=""officenamecolor"">Brits</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '012 252 3416 / 0676']	 '012 252 3223']	 'Cnr Van Velden & Court Street, Brits 0250\t']	 '-25.63501; 27.77902\t']
 ' Northern Cape']	 'Britstown']	 'Magistrate Court']	" <span class=""officenamecolor"">Britstown</span>]"	 'Yes ']	 'Yes']		 '053 672 0012']	 '053 672 0464']	 '22 Long Street, Britstown 8782\t']	 '-30.58919; 23.50358\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Brixton</span>]"	 'No ']	 'No']		 '011 839 2768']	 '011 837 6349']	 'Cnr High & Mercury Street, Brixton 2019\t']	 '-26.19322; 27.99333\t']
 ' Gauteng']	 'Bronkhorstspruit']	 'Detached Court']	" <span class=""officenamecolor"">Bronkhorstspruit</span>]"	 'Yes ']	 'Yes']		 '013 932 2901-3']	 '013 932 2880']	 '38 Kruger Street, Bronkhorstspruit 1020\t']	 '-25.80778; 28.74458\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Buffelshoek</span>]"	 ' ']			 'See Potchefstroom']		 'Potchefstroom Parys Main Road, Buffelshoek\t']	 '-26.80362; 27.39961\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Bulgerivier</span>]"	 'No ']	 'No']		 '014 763 2178']	 '014 763 3840']	 'Near SAPS Bulgerivier\t']	 '-24.12652; 27.69397\t']
 ' Free State']	 'Bultfontein']	 'Magistrate Court']	" <span class=""officenamecolor"">Bultfontein</span>]"	 'Yes ']	 'Yes']		 '051 853 1126']	 '051 853 1851 /1119']	 '5 McCullem Street, Bultfontein 9670\t']	 'E 26.1533; S -28.2902\t']
 ' Eastern Cape']	 'Albert']	 'Magistrate Court']	" <span class=""officenamecolor"">Burgersdorp</span>]"	 'Yes ']	 'Yes']		 '051 653 1833']	 '051 653 1129']	 'Church Street , Burgersdorp 9744\t']	 'E 26.33138; S -30.99471\t']
 ' Limpopo']		 'Branch Court']	" <span class=""officenamecolor"">Burgersfort</span>]"	 'No ']	 'No']		 '013 235 2325/6/7']	 '013 235 3411']	 '7 Justice Street, Burgersfort\t']	 '-24.67995; 30.3297\t']
 ' Mpumalanga']	 'Mapulaneng']	 'Magistrate Court']	" <span class=""officenamecolor"">Bushbuckridge</span>]"	 'Yes ']	 'Yes']		 '013 799 0211/ 12']	 '013 799 0407']	 'R533, Near SAPS, Graskop Road, Bushbuckridge 1280\t']	 '-24.83612; 31.06877\t']
 ' Eastern Cape']	 'Butterworth']	 'Magistrate Court']	" <span class=""officenamecolor"">Butterworth</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '047 491 3271']	 '047 491 0904']	 '52 Blyth Street, Butterworth 4960\t']	 'E 28.14535; S -32.33078\t']
 ' Eastern Cape']	 'Cala']	 'Magistrate Court']	" <span class=""officenamecolor"">Cala</span>]"	 'Yes ']	 'Yes']		 '047 877 0135']	 '047 877 0093']	 'Umtata Road 472, Cala 5455\t']	 'E 27.69699; S -31.52432\t']
 ' Western Cape']	 'Caledon']	 'Magistrate Court']	" <span class=""officenamecolor"">Caledon</span>]"	 'Yes ']	 'Yes']		 '028 212 1076']	 '028 214 1630']	 '28 Church Street, Caledon 7230\t']	 'E 19.42972; S -34.23221\t']
 ' Western Cape']	 'Calitzdorp']	 'Magistrate Court']	" <span class=""officenamecolor"">Calitzdorp</span>]"	 'Yes ']	 'Yes']		 '044 213 3309']	 '044 213 3013']	 '13 Queen Street, Calitzdorp 6660\t']	 'E 21.68649; S -33.5337\t']
 ' Northern Cape']	 'Calvinia']	 'Magistrate Court']	" <span class=""officenamecolor"">Calvinia</span>]"	 'Yes ']	 'Yes']		 '027 341 1017']	 '027 341 1483']	 '26 Stigling Street, Calvinia, 8190\t']	 '-31.47384; 19.77341\t']
 ' KwaZulu-Natal']	 'Camperdown']	 'Magistrate Court']	" <span class=""officenamecolor"">Camperdown</span>]"	 'Yes ']	 'Yes']		 '031 785 1155/6/7']	 '031 785 1652']	 '10 Bishop Street, Camperdown 3720\t']	 'E 30.54196; S -29.72945\t']
 ' Western Cape']	 'Cape']	 'Magistrate Court']	" <span class=""officenamecolor"">Cape Town</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '021 401 1511']	 '021 461 1948']	 'Iustitia Building, c/o Caledon & Parade Street, Cape Town 8001\t']	 'E 18.42324; S -33.92683\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Cape Town Community Court</span>]"	 'No ']	 'No']		 '021 401 1544/ 1547']	 '021 461 1948']	 '17 Norlen House, Cape Town\t']	 'E 18.424; S -33.92702\t']
 ' Northern Cape']	 'Carnarvon']	 'Magistrate Court']	" <span class=""officenamecolor"">Carnarvon</span>]"	 'Yes ']	 'Yes']		 '053 382 3001']	 '053 382 3725']	 '9 Hanau Street, Carnarvon, 8925\t']	 '-30.96974; 22.12965\t']
 ' Mpumalanga']	 'Carolina']	 'Magistrate Court']	" <span class=""officenamecolor"">Carolina</span>]"	 'Yes ']	 'Yes']		 '017 843 1033']	 '017 843 2500']	 '38 Voortrekker Street, Carolina 1185\t']	 '-26.06994; 30.11698\t']
 ' Eastern Cape']	 'Cathcart']	 'Magistrate Court']	" <span class=""officenamecolor"">Cathcart</span>]"	 'Yes ']	 'Yes']		 '045 843 1027']	 '045 843 1692']	 'Main Street, Cathcart 5310\t']	 'E 27.14448; S -32.29775\t']
 ' Eastern Cape']	 'Kentani']	 'Magistrate Court']	" <span class=""officenamecolor"">Centane</span>]"	 'Yes ']	 'Yes']		 '047 498 1033']	 '047 498 1035']	 'CCSC Building, Bell Street, Centane 4980\t']	 'E 28.31996; S -32.50991\t']
 ' Gauteng']		 'Periodical Court']	" <span class=""officenamecolor"">Centurion</span>]"	 'No ']	 'No']		 '012 319 4000']	 '012 328 6546']	 '100 Napier Street, Lyttleton, Centurion\t']	 '-25.82718; 28.20543\t']
 ' Western Cape']	 'Ceres']	 'Magistrate Court']	" <span class=""officenamecolor"">Ceres</span>]"	 'Yes ']	 'Yes']		 '023 312 1112 / 1188/ 1189/ 1067']	 '023 316 1190']	 '44 Voortrekker Road, Ceres 6835\t']	 'E 19.30676; S -33.37161\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Charl Cilliers</span>]"	 ' ']			 '017 640 0236']	 '017 634 8540']	 '234 Botha Street, Charl Cilliers, 2301 [at Police Station ]\t']	 '-26.664883; 29.189887\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Charlestown</span>]"	 'No ']	 'No']		 '034 312 1166/7/8']	 '034 315 1607']	 'Hollard Street, Charlestown\t']	 'E 29.87249; S -27.41492\t']
 ' KwaZulu-Natal']	 'Chatsworth']	 'Magistrate Court']	" <span class=""officenamecolor"">Chatsworth</span>]"	 'Yes ']	 'Yes']		 '031 403 3227/ 2231/ 3281/ 3282']	 '031 403 0301']	 '1 Justice Street, Unit 5,  Chatsworth 4030\t']	 'E 30.88408; S -29.91076\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Chrissies Meer</span>]"	 'No ']	 'No']		 '017 819 3462/ 63/66']	 '017 819 2735']	 '69 Parkwood Street, SAPS Chrissies Meer\t']	 '-26.28052; 30.21357\t']
 ' North West']	 'Christiana']	 'Detached Court']	" <span class=""officenamecolor"">Christiana</span>]"	 'Yes ']	 'Yes']		 '053 441 2205']	 '053 441 3958']	 '17\xa0 Pretorius Street, Christiana 2680\t']	 '-27.9104; 25.16982\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Citrusdal</span>]"	 'No ']	 'No']		 '027 482 2114/5']	 '027 482 2412']	 'Voortrekker Ave, Citrusdal\t']	 'E 19.01136; S -32.58819\t']
 ' Western Cape']	 'Clanwilliam']	 'Magistrate Court']	" <span class=""officenamecolor"">Clanwilliam</span>]"	 'Yes ']	 'Yes']		 '027 482 2114/5']	 '027 482 2412']	 '4 Hoof Street, Clanwilliam 8135\t']	 'E 18.89238; S -32.17091\t']
 ' Free State']		 'Periodical Court']	" <span class=""officenamecolor"">Clarens</span>]"	 'No ']	 'No']		 '058 303 5386']	 '058 303 1541']	 'Church Street\t']	 'E 28.41976; S -28.51545\t']
 ' Free State']	 'Clocolan']	 'Magistrate Court']	" <span class=""officenamecolor"">Clocolan</span>]"	 'Yes ']	 'Yes']		 '051 943 0409']	 '051 943 0963']	 'Dirkie Uys Avenue, Clocolan 9735\t']	 'E 27.56832; S -28.91609\t']
 ' Eastern Cape']	 'St Marks']	 'Magistrate Court']	" <span class=""officenamecolor"">Cofimvaba</span>]"	 'Yes ']	 'Yes']		 '047 874 0008']	 '047 874 0555']	 'High Street, Confimvaba 5380\t']	 'E 27.5803; S -32.00074\t']
 ' KwaZulu-Natal']	 'Colenso']	 'Periodical Court']	" <span class=""officenamecolor"">Colenso</span>]"	 'No ']	 'Yes']		 '036 422 2203']	 '036 422 2545']	 'Sir George Street, Colenso 3360\t']	 'E 29.82326; S -28.73448\t']
 ' Northern Cape']	 'Colesberg']	 'Magistrate Court']	" <span class=""officenamecolor"">Colesberg</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '051 753 8400']	 '051 753 8450']	 '8 Campbell Street, Colesberg, 9795\t']	 '-30.71992; 25.09577\t']
 ' North West']	 'Coligny']	 'Detached Court']	" <span class=""officenamecolor"">Coligny</span>]"	 'Yes ']	 'Yes']		 '018 673 1053']	 '018 673 1378/1551']	 '65 Voortrekker Street, Coligny 2725\t']	 '-26.3323; 26.31589\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Cookhouse</span>]"	 'No ']	 'No']		 'See Somerset East']		 'End Street\t']	 'E 25.80046; S -32.74986\t']
 ' Free State']		 'Periodical Court']	" <span class=""officenamecolor"">Cornelia</span>]"	 'No ']	 'No']		 '058 913 1024']	 '058 913 2747']	 '7 Ritcherd Street\t']	 'E 28.85382; S -27.23581\t']
 ' Eastern Cape']	 'Cradock']	 'Magistrate Court']	" <span class=""officenamecolor"">Cradock</span>]"	 'Yes ']	 'Yes']		 '048 881 1378']	 '048 881 2958']	 '50 Market Square, Cradock 5880\t']	 'E 25.61805; S -32.16883\t']
 ' Gauteng']	 'Cullinan']	 'Detached Court']	" <span class=""officenamecolor"">Cullinan</span>]"	 'Yes ']	 'Yes']		 '012 734 1024/25']	 '012 734 1989']	 '2 School Road, Cullinan 1000\t']	 '-25.67871; 28.5357\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Cumberland</span>]"	 'No ']	 'No']		 '014 777 1543']	 '014 772\xa0 2523']	 'Farm Station near Cumberland SAPS\t']	 '-23.97596; 26.9198\t']
